name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.71%,1.18%,7.00%,55.08382390243873,A
白龍,47.12%,1.29%,6.19%,50.3014982303289,B
瀾,50.02%,1.63%,4.13%,54.64269448569403,B
妲己,50.36%,3.11%,0.53%,54.58946651011917,B
后羿,52.55%,2.98%,0.12%,59.30530364639067,A
阿軻,53.09%,1.08%,3.58%,60.110920821548646,S
蒼,47.66%,2.25%,0.88%,49.24258796432095,C
アンジェラ,49.58%,2.22%,0.78%,52.472994176436714,B
典韋,53.83%,2.04%,0.74%,62.29446665131522,S
マルコ・ポーロ,48.06%,2.21%,0.19%,49.31095905952533,C
夏侯惇,52.36%,2.19%,0.20%,58.137619044539925,A
啓,53.37%,2.06%,0.33%,60.70510196124012,S
少司縁,48.94%,1.27%,1.47%,49.7068073818376,C
孫尚香,46.85%,1.98%,0.04%,46.91646112360328,C
ミレディ,49.00%,1.79%,0.40%,50.281650964858216,B
瑶,49.98%,1.58%,0.71%,51.874497493643105,B
王昭君,51.86%,1.80%,0.08%,56.05609314142361,A
李信,52.55%,1.75%,0.14%,57.706838967737255,A
虞美人,51.90%,1.71%,0.07%,55.935872394998,A
ルアンナ,53.52%,1.64%,0.18%,60.1027716549248,S
大喬,49.41%,1.27%,0.91%,50.15244980346111,B
孔明,48.77%,1.63%,0.08%,49.25042771023045,C
小喬,49.43%,1.60%,0.03%,50.345791625343736,B
魯班7号,51.12%,1.57%,0.07%,53.77991568576076,B
エリン,51.31%,1.56%,0.07%,54.18417303348599,B
張良,50.24%,1.22%,0.74%,51.538581815062294,B
蔡文姫,51.57%,1.36%,0.45%,54.57170162575048,B
貂蝉,52.15%,1.44%,0.13%,55.927480672628576,A
墨子,48.48%,1.28%,0.44%,48.149507511597015,C
ドリア,47.22%,1.39%,0.18%,46.18931777950407,C
蘭陵王,47.87%,0.64%,1.66%,46.83234404451568,C
司馬懿,53.89%,1.05%,0.62%,60.096590918027,S
東皇太一,48.65%,1.00%,0.66%,47.98896213408006,C
女媧,52.01%,1.03%,0.41%,54.84022812568587,B
アーサー,48.93%,1.22%,0.03%,48.49078891705597,C
公孫離,49.20%,1.06%,0.34%,48.85971708120505,C
伽羅,53.72%,1.17%,0.06%,59.44041296831245,A
ミーユエ,51.63%,1.05%,0.28%,53.87223368513524,B
不知火舞,48.20%,1.07%,0.21%,47.02635296165379,C
太公望,50.29%,1.14%,0.05%,50.94136428442491,B
孫悟空,47.75%,1.10%,0.10%,46.27293604764725,C
ハイノ,49.18%,1.04%,0.14%,48.63121923867019,C
甄姫,51.95%,1.06%,0.01%,54.45610988326695,B
呂布,48.60%,1.04%,0.03%,47.51044477271934,C
孫策,47.99%,1.03%,0.02%,46.453481320296525,C
仁傑,53.74%,1.02%,0.02%,59.145602687739405,A
鐘馗,49.88%,0.97%,0.13%,49.81960426239172,C
干将・莫耶,51.85%,0.95%,0.16%,54.10663920083041,B
劉禅,49.06%,0.98%,0.08%,48.2458012638581,C
ナコルル,50.75%,0.99%,0.05%,51.59498747234352,B
棋星,52.52%,0.94%,0.11%,55.71776988622068,A
バイロン,48.42%,0.96%,0.05%,47.05587336565145,C
廉頗,49.88%,0.94%,0.05%,49.70228339776247,C
宮本武蔵,46.71%,0.91%,0.06%,44.285571893739885,D
カイザー,48.86%,0.88%,0.04%,47.66893900467019,C
項羽,52.45%,0.87%,0.01%,55.336110869241566,A
