name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,50.03%,1.04%,6.46%,55.067434264998454,A
元流の子（マークスマン）,49.89%,2.99%,1.99%,54.67436401548344,B
妲己,51.88%,3.09%,1.37%,58.60266961226232,A
白龍,47.70%,0.84%,5.64%,49.891096590033335,C
瀾,50.33%,1.78%,3.32%,55.09169848057047,A
ミレディ,50.98%,1.88%,2.93%,56.40322876650333,A
マルコ・ポーロ,48.47%,2.78%,0.52%,50.84753519155807,B
孔明,49.60%,2.74%,0.38%,52.77075715811572,B
后羿,53.96%,2.74%,0.13%,63.084854726097056,S
瑶,48.49%,1.95%,1.71%,50.7669656184474,B
李信,50.78%,2.42%,0.48%,54.979764764905234,B
アンジェラ,49.00%,2.32%,0.65%,51.464550350915985,B
公孫離,47.61%,1.33%,2.22%,48.2508515654052,C
張良,51.98%,0.92%,2.71%,56.33019867419795,A
小喬,49.85%,2.19%,0.09%,52.471312910729374,B
孫尚香,47.59%,2.10%,0.06%,48.32104516233,C
虞美人,52.55%,1.93%,0.19%,58.19983836166593,A
墨子,49.89%,1.45%,1.13%,51.76508459042521,B
夏侯惇,50.97%,1.77%,0.35%,54.207970324988665,B
阿軻,52.00%,0.57%,2.63%,55.761342004619316,A
少司縁,49.08%,1.14%,1.31%,49.60819400470054,C
典韋,52.73%,1.39%,0.75%,57.827003425989595,A
宮本武蔵,49.89%,1.63%,0.19%,51.504651439288594,B
東皇太一,49.95%,0.83%,1.61%,50.86052445213523,B
蔡文姫,52.62%,1.10%,0.97%,57.01133935495229,A
ルナ,49.37%,1.13%,0.88%,49.79968051567155,C
不知火舞,48.12%,1.41%,0.30%,47.83370162909678,C
ドリア,45.60%,1.39%,0.32%,44.10722695115765,D
ファーティフ,54.74%,1.07%,0.83%,62.97776692455354,S
ユンエイ,52.23%,1.37%,0.22%,56.098105256210744,A
孫悟空,47.31%,1.39%,0.18%,46.4043636424588,C
大喬,50.36%,1.02%,0.89%,51.520583664574474,B
ハロルド,45.66%,1.04%,0.85%,43.758089284637926,D
呂布,50.30%,1.41%,0.07%,51.697998163513496,B
蘭陵王,48.89%,0.50%,1.67%,48.4277218027214,C
女媧,53.76%,1.16%,0.33%,59.80599241438357,A
魯班7号,50.76%,1.26%,0.07%,52.29811397017896,B
孫策,49.60%,1.22%,0.04%,49.81614624135361,C
曜,49.88%,1.18%,0.07%,50.289951068589254,B
王昭君,52.67%,1.17%,0.08%,56.63353045586362,A
伽羅,53.91%,1.14%,0.10%,60.027761282061675,S
甄姫,52.22%,1.11%,0.03%,55.3095941461631,A
アレン,49.42%,1.09%,0.05%,49.18159623959541,C
エリン,51.24%,1.03%,0.12%,52.87139015038878,B
太公望,52.26%,1.01%,0.14%,55.27554174231347,A
ミーユエ,51.46%,0.82%,0.47%,53.2317405515937,B
貂蝉,47.15%,0.96%,0.20%,45.187209062615125,C
啓,53.45%,0.92%,0.18%,58.2932491911183,A
バイロン,48.95%,0.98%,0.06%,48.08873113659175,C
鐘馗,50.42%,0.85%,0.27%,50.848654964050816,B
ハイノ,47.77%,0.87%,0.22%,45.99181550548614,C
韓信,51.35%,0.87%,0.20%,52.86525420662134,B
劉禅,50.06%,0.87%,0.19%,50.08737924067635,B
ルアンナ,50.51%,0.89%,0.15%,51.02048703859991,B
司馬懿,53.64%,0.78%,0.32%,58.68889010125734,A
項羽,51.68%,0.85%,0.08%,53.50699760199176,B
干将・莫耶,51.55%,0.77%,0.24%,53.184068271200786,B
荘子,51.12%,0.54%,0.67%,52.19635666456404,B
アーサー,49.55%,0.85%,0.04%,48.93821502569754,C
棋星,51.84%,0.81%,0.09%,53.825867100586194,B
カイザー,49.48%,0.82%,0.07%,48.77439412743556,C
廉頗,50.98%,0.80%,0.10%,51.835232363330576,B
バタフライ,48.19%,0.79%,0.12%,46.46280219911633,C
ナコルル,50.34%,0.74%,0.13%,50.39176446426454,B
張飛,50.57%,0.73%,0.13%,50.85746011489122,B
李白,50.64%,0.73%,0.06%,50.953691882211324,B
明世隠,51.68%,0.69%,0.08%,53.24457165928222,B
アレッシオ,53.17%,0.70%,0.06%,57.045856586607854,A
仁傑,52.49%,0.70%,0.03%,55.21814580949491,A
白起,51.38%,0.61%,0.10%,52.447376675272416,B
李元芳,48.66%,0.63%,0.07%,46.98429659409519,C
趙雲,51.28%,0.62%,0.03%,52.179898800807464,B
シャルロット,48.12%,0.60%,0.03%,45.99436918301244,C
ムーラン,49.54%,0.60%,0.01%,48.50791428217312,C
百里守約,49.26%,0.53%,0.07%,47.937487424251174,C
蒼,49.35%,0.49%,0.06%,48.05143286816298,C
鐘無艶,53.12%,0.48%,0.04%,56.606981357471945,A
扁鵲,51.16%,0.42%,0.15%,51.762554059868606,B
西施,51.11%,0.44%,0.07%,51.611142698462004,B
周瑜,51.81%,0.43%,0.03%,53.191165175705066,B
漸離,51.00%,0.41%,0.06%,51.32848642434591,B
達磨,52.50%,0.42%,0.03%,54.89314495095835,B
孔子,49.30%,0.42%,0.04%,47.86801301532248,C
