name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.55%,2.51%,3.39%,59.00282972582182,A
Haya,47.16%,2.50%,3.10%,50.47927068248312,B
大司命,48.38%,1.07%,5.93%,51.82660879195818,B
ミレディ,49.09%,1.59%,4.52%,53.29157457275369,B
Chicha,51.29%,2.11%,2.88%,57.570176242766266,A
アンジェラ,51.73%,2.16%,2.56%,58.425105399557104,A
后羿,50.03%,3.06%,0.23%,53.629466939445265,B
白龍,47.02%,1.18%,3.63%,48.199965349271736,C
張良,50.73%,0.95%,3.48%,54.22752216051312,B
李信,53.69%,2.03%,1.05%,62.245525520615054,S
マルコ・ポーロ,50.91%,2.29%,0.45%,55.135055018943575,A
孫尚香,48.42%,2.02%,0.10%,49.6678943116673,C
王昭君,50.84%,1.89%,0.31%,54.270661796870705,B
小喬,48.91%,1.97%,0.15%,50.47824746119301,B
蔡文姫,49.97%,1.35%,1.35%,52.00488454798159,B
東皇太一,48.18%,0.88%,2.08%,48.18947348581631,C
墨子,49.47%,1.25%,1.27%,50.72325891124611,B
虞美人,51.69%,1.76%,0.19%,55.84888744449268,A
魯班7号,51.36%,1.75%,0.15%,55.02879113699615,A
エリン,51.55%,1.69%,0.19%,55.36700831367923,A
瑶,46.98%,1.25%,1.06%,46.384919959390785,C
孫悟空,49.13%,1.57%,0.26%,50.12228914041074,B
伽羅,54.62%,1.54%,0.29%,63.484184473131975,S
ドリア,45.57%,1.43%,0.32%,44.33403436996861,D
少司縁,48.00%,1.09%,0.84%,47.42139042023309,C
孔明,48.14%,1.32%,0.26%,47.77779220496238,C
李元芳,50.63%,1.37%,0.10%,52.477826016669134,B
カイザー,51.25%,1.35%,0.12%,53.80526369925066,B
瀾,49.48%,1.01%,0.80%,49.82054212383901,C
夏侯惇,50.75%,1.28%,0.19%,52.577779747399624,B
甄姫,53.08%,1.28%,0.08%,58.15161650845,A
ハイノ,48.53%,1.14%,0.32%,48.04090355426452,C
ルアンナ,51.50%,1.24%,0.10%,54.09012436189023,B
ミーユエ,49.42%,0.85%,0.78%,49.3557238115842,C
阿軻,52.78%,0.64%,1.17%,56.81408813189699,A
アーサー,50.59%,1.18%,0.08%,51.90694336911944,B
呂布,49.36%,1.15%,0.12%,49.409088805187125,C
大喬,47.51%,0.91%,0.55%,46.02286261060548,C
宮本武蔵,50.52%,1.07%,0.20%,51.587799551420815,B
鐘馗,50.53%,0.92%,0.46%,51.47314083195382,B
典韋,52.25%,1.01%,0.27%,55.482919110818514,A
蘭陵王,48.81%,0.50%,1.25%,48.019892060141075,C
元流の子（マークスマン）,51.99%,1.09%,0.05%,54.8579146766709,B
女媧,50.93%,0.90%,0.38%,52.232384759358,B
荘子,49.32%,0.69%,0.79%,48.88522741387439,C
劉禅,49.46%,0.97%,0.17%,49.22211398441456,C
公孫離,47.11%,0.78%,0.53%,45.14253955814426,C
アレッシオ,51.73%,1.01%,0.03%,54.033786888661865,B
廉頗,51.44%,0.94%,0.09%,53.24680644718766,B
百里守約,49.25%,0.89%,0.10%,48.60758034182629,C
ルナ,48.17%,0.61%,0.64%,46.61613382420411,C
太公望,50.74%,0.86%,0.12%,51.543588312459896,B
孫策,49.97%,0.90%,0.03%,49.96073996406382,C
干将・莫耶,52.58%,0.69%,0.41%,55.80179431481486,A
バイロン,48.92%,0.84%,0.07%,47.88323134908797,C
仁傑,51.98%,0.86%,0.02%,54.311700078968336,B
ユンエイ,52.08%,0.80%,0.12%,54.51610556482808,B
西施,48.82%,0.70%,0.28%,47.60814660610588,C
項羽,50.04%,0.81%,0.04%,49.93080770821734,C
蒼,50.40%,0.78%,0.08%,50.64101093393863,B
貂蝉,47.42%,0.76%,0.09%,45.24791061198954,C
張飛,49.62%,0.72%,0.13%,49.00997677145798,C
棋星,52.58%,0.74%,0.05%,55.617255261035076,A
ガルダ,50.39%,0.72%,0.04%,50.48362762663715,B
不知火舞,48.66%,0.64%,0.17%,47.14616547978175,C
孔子,53.63%,0.61%,0.16%,58.35348789428649,A
影,50.40%,0.65%,0.09%,50.426326416010255,B
元流の子（タンク）,49.33%,0.64%,0.07%,48.28326821445061,C
鐘無艶,51.62%,0.64%,0.06%,53.08906901413506,B
Lapulapu,55.54%,0.60%,0.09%,64.33728515972058,S
李白,51.87%,0.57%,0.16%,53.654514559155125,B
シャルロット,48.58%,0.63%,0.04%,46.89373398616411,C
韓信,53.23%,0.54%,0.20%,57.15514239059947,A
