name,win_rate,pick_rate,ban_rate,meta_score,tier
ミレディ,50.64%,2.09%,5.13%,57.76326946816275,A
后羿,52.85%,4.20%,0.36%,60.42846281764067,S
大司命,48.37%,1.07%,6.05%,51.839309078673594,B
妲己,50.54%,2.70%,2.55%,56.26482282474699,A
アンジェラ,49.61%,2.30%,1.81%,53.477917063896015,B
白龍,46.66%,1.10%,4.14%,47.80453614860375,C
東皇太一,50.53%,1.63%,2.91%,54.94369538443556,B
瀾,48.75%,1.16%,2.67%,50.17124376499658,B
張良,51.11%,0.91%,2.97%,54.54325491222666,B
マルコ・ポーロ,47.21%,2.12%,0.45%,48.108899745866054,C
蔡文姫,53.05%,1.58%,1.25%,59.623284948208614,A
小喬,48.04%,2.04%,0.17%,49.08002847131811,C
孔明,49.72%,1.83%,0.43%,51.88791994654622,B
李信,52.13%,1.67%,0.60%,56.96376591114774,A
ガルダ,50.16%,1.73%,0.44%,52.55498624553182,B
魯班7号,50.36%,1.84%,0.16%,52.99138677742204,B
墨子,49.44%,1.17%,1.44%,50.53337582397685,B
瑶,47.21%,1.30%,1.18%,46.87539934338962,C
王昭君,50.21%,1.73%,0.26%,52.52185357016051,B
女媧,52.61%,1.47%,0.75%,57.81062762963993,A
少司縁,47.59%,1.43%,0.82%,47.51579251082765,C
蘭陵王,49.12%,0.55%,2.48%,49.543407363076376,C
ルアンナ,51.77%,1.65%,0.22%,55.75719817707611,A
孫尚香,46.43%,1.53%,0.06%,45.47214475780241,C
虞美人,50.51%,1.45%,0.14%,52.38528580933278,B
ルナ,48.20%,0.70%,1.64%,47.523474974365236,C
ドリア,46.03%,1.38%,0.26%,44.700698944231604,D
太公望,52.74%,1.28%,0.33%,57.36188470672554,A
エリン,50.02%,1.38%,0.11%,51.18155845825847,B
阿軻,52.23%,0.73%,1.39%,55.6760927979513,A
夏侯惇,50.36%,1.28%,0.21%,51.70070559176951,B
伽羅,52.39%,1.27%,0.19%,56.327481074817534,A
宮本武蔵,49.80%,1.22%,0.27%,50.46946044567573,B
大喬,48.70%,1.01%,0.69%,48.256293332081555,C
典韋,51.89%,1.11%,0.39%,54.854868092252005,B
バイロン,48.62%,1.26%,0.08%,48.242764192916965,C
カイザー,50.78%,1.23%,0.07%,52.36228032042389,B
公孫離,48.14%,0.77%,0.89%,46.97832713081954,C
仁傑,52.66%,1.18%,0.03%,56.68368439472645,A
アーサー,49.48%,1.15%,0.06%,49.52670244427176,C
甄姫,52.03%,1.15%,0.05%,55.03407447236397,A
荘子,50.42%,0.78%,0.76%,51.150768427676965,B
影,49.46%,0.97%,0.32%,49.27989727855573,C
鐘馗,49.14%,0.89%,0.47%,48.632517498208465,C
元流の子（マークスマン）,51.68%,1.08%,0.06%,54.0364074301994,B
孫策,49.09%,1.09%,0.04%,48.64585562454624,C
ミーユエ,50.47%,0.81%,0.59%,51.18153679505418,B
孫悟空,47.26%,1.00%,0.21%,45.5193766904336,C
李白,51.30%,0.88%,0.29%,52.90261017727006,B
アレッシオ,51.87%,1.00%,0.04%,54.297780886214454,B
呂布,48.36%,0.96%,0.09%,47.1125997089564,C
不知火舞,48.60%,0.83%,0.31%,47.433023354369695,C
劉禅,49.57%,0.87%,0.19%,49.18986287349998,C
ハイノ,48.06%,0.87%,0.20%,46.512293157530905,C
貂蝉,48.88%,0.90%,0.13%,47.92628993648202,C
廉頗,50.95%,0.88%,0.11%,51.9842196132997,B
楊戩,52.39%,0.83%,0.18%,55.347929378070305,A
干将・莫耶,50.46%,0.69%,0.39%,50.80607319448564,B
啓,52.88%,0.76%,0.14%,56.468169513955715,A
李元芳,48.80%,0.82%,0.03%,47.55579178922515,C
ユンエイ,52.30%,0.67%,0.21%,54.87018880864609,B
百里守約,49.57%,0.74%,0.07%,48.864664124251604,C
張飛,50.03%,0.68%,0.18%,49.7513811302475,C
ナコルル,49.35%,0.66%,0.20%,48.41662655424366,C
楊貴妃,49.84%,0.70%,0.11%,49.353117147245506,C
元流の子（タンク）,48.84%,0.68%,0.11%,47.448295506129426,C
蒼,50.34%,0.70%,0.06%,50.32476288070215,B
棋星,50.96%,0.68%,0.07%,51.62397232005955,B
明世隠,50.42%,0.65%,0.06%,50.412946181028104,B
項羽,51.07%,0.65%,0.03%,51.791241695599346,B
黄忠,52.55%,0.62%,0.09%,55.34226524968133,A
曜,51.05%,0.63%,0.07%,51.74689720588746,B
扁鵲,51.02%,0.60%,0.12%,51.6744616688837,B
趙雲,50.72%,0.64%,0.02%,51.00313292130317,B
元流の子（メイジ）,50.20%,0.58%,0.11%,49.89532471831753,C
白起,53.27%,0.58%,0.09%,57.21232746138846,A
韓信,51.22%,0.54%,0.14%,52.05510071908294,B
周瑜,51.97%,0.57%,0.05%,53.78745922056134,B
バタフライ,50.86%,0.55%,0.09%,51.231816394712446,B
シャルロット,46.86%,0.54%,0.04%,43.99539924666507,D
鐘無艶,50.76%,0.53%,0.04%,50.95127965868773,B
西施,50.25%,0.49%,0.10%,49.87315142853382,C
孔子,51.14%,0.49%,0.07%,51.7593915157283,B
姫小満,47.32%,0.50%,0.06%,44.64728444292921,D
劉備,51.16%,0.48%,0.07%,51.792161189796815,B
アレン,48.50%,0.47%,0.05%,46.519471211627575,C
ムーラン,51.26%,0.45%,0.04%,51.96010508992953,B
ファーティフ,48.16%,0.43%,0.08%,45.920504034837045,C
