name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.44%,1.08%,6.86%,54.26204475292855,B
白龍,47.51%,1.20%,6.12%,50.65709931564354,B
妲己,50.26%,3.15%,0.64%,54.47471202058698,B
瀾,49.78%,1.42%,3.40%,53.12437199854251,B
夏侯惇,52.88%,2.93%,0.26%,60.24992191916852,S
ミレディ,51.81%,2.48%,0.85%,57.65553021912722,A
后羿,52.59%,2.73%,0.09%,59.24336085093299,A
白起,49.37%,2.24%,0.86%,52.176267762959206,B
阿軻,51.84%,0.84%,3.46%,56.37510375066028,A
典韋,54.02%,2.08%,0.82%,63.006438993998096,S
孫尚香,46.53%,2.34%,0.04%,47.054724525588156,C
瑶,48.87%,1.87%,0.92%,50.6375571440005,B
アンジェラ,49.00%,2.04%,0.54%,50.924996330795814,B
マルコ・ポーロ,48.53%,2.11%,0.23%,49.98555690062816,C
孔明,49.20%,1.97%,0.13%,50.849893075280136,B
李信,52.26%,1.93%,0.18%,57.416455070465545,A
少司縁,49.99%,1.22%,1.40%,51.5522612746896,B
ルアンナ,54.25%,1.72%,0.18%,62.47365258499137,S
棋星,51.74%,1.73%,0.12%,55.661404561011366,A
墨子,49.71%,1.52%,0.47%,51.040188375422375,B
張良,50.78%,1.26%,0.96%,52.95955960971294,B
魯班7号,51.20%,1.71%,0.05%,54.31071729068074,B
啓,52.77%,1.57%,0.31%,57.999471451743375,A
虞美人,51.63%,1.64%,0.08%,55.15618748273052,A
公孫離,48.99%,1.30%,0.56%,49.21220940038155,C
孫悟空,48.27%,1.50%,0.14%,48.13719062325835,C
ドリア,47.59%,1.44%,0.20%,46.92631588977956,C
大喬,49.04%,1.05%,0.89%,48.979145748705626,C
貂蝉,53.30%,1.39%,0.19%,58.89675710831743,A
蔡文姫,50.75%,1.22%,0.46%,52.42493429571473,B
小喬,49.14%,1.41%,0.03%,49.35902922012428,C
太公望,50.61%,1.32%,0.07%,52.072757945229846,B
東皇太一,48.98%,0.96%,0.74%,48.57551265131134,C
エリン,51.50%,1.29%,0.07%,53.97848899133344,B
ミーユエ,52.25%,1.12%,0.34%,55.59514163730141,A
蘭陵王,48.69%,0.55%,1.35%,47.87734666172775,C
蒼,48.49%,1.10%,0.22%,47.6116187608238,C
伽羅,53.12%,1.17%,0.06%,57.77439688006138,A
李元芳,48.95%,1.14%,0.09%,48.412297477684305,C
孫策,47.44%,1.10%,0.02%,45.74750416348465,C
王昭君,51.29%,1.07%,0.04%,52.968602176173746,B
宮本武蔵,48.74%,1.01%,0.10%,47.766818250014275,C
司馬懿,54.25%,0.74%,0.61%,60.62667576803976,S
ルナ,49.23%,0.85%,0.38%,48.559883533587985,C
アーサー,48.43%,1.03%,0.02%,47.20968150902159,C
不知火舞,48.71%,0.93%,0.20%,47.63182664590906,C
呂布,48.43%,0.98%,0.04%,47.12330332867504,C
甄姫,51.36%,0.98%,0.01%,52.920360024218574,B
鐘馗,50.56%,0.91%,0.14%,51.12184941200229,B
干将・莫耶,51.57%,0.88%,0.18%,53.345046035702026,B
女媧,51.08%,0.82%,0.29%,52.204220444581594,B
劉禅,50.26%,0.92%,0.07%,50.46284669978921,B
廉頗,50.39%,0.92%,0.04%,50.70893740332353,B
仁傑,53.61%,0.92%,0.01%,58.58629694789149,A
ハイノ,49.13%,0.86%,0.14%,48.213119421545464,C
趙雲,51.27%,0.87%,0.02%,52.515600440366335,B
ナコルル,51.06%,0.80%,0.04%,51.938950914527524,B
アレッシオ,52.48%,0.80%,0.03%,55.324212028277316,A
明世隠,52.32%,0.75%,0.06%,54.86014084339211,B
項羽,52.31%,0.73%,0.01%,54.766863829113355,B
カイザー,48.77%,0.72%,0.03%,47.25495397546196,C
韓信,51.32%,0.66%,0.13%,52.38080991695793,B
鐘無艶,53.15%,0.69%,0.02%,56.92350580846081,A
漸離,53.30%,0.67%,0.03%,57.31687893427862,A
バタフライ,50.15%,0.66%,0.06%,49.80840482392761,C
荘子,48.11%,0.55%,0.26%,46.07122130780155,C
張飛,49.89%,0.65%,0.05%,49.266160902999324,C
アレン,49.46%,0.66%,0.02%,48.4247856616492,C
曜,49.46%,0.63%,0.02%,48.38427097769045,C
百里守約,47.27%,0.60%,0.04%,44.63360367484308,D
バイロン,48.01%,0.61%,0.02%,45.80052642054569,C
シャルロット,46.77%,0.58%,0.03%,43.85869681983204,D
ハロルド,45.29%,0.56%,0.03%,41.8424455062287,D
楊貴妃,46.02%,0.52%,0.02%,42.73404755801395,D
上官婉児,46.48%,0.52%,0.01%,43.358909444300565,D
蒙牙,49.93%,0.51%,0.01%,49.142571128172904,C
橘右京,49.94%,0.50%,0.02%,49.15888271966243,C
李白,49.54%,0.49%,0.03%,48.37596826760793,C
達磨,51.55%,0.48%,0.03%,52.617556738169284,B
周瑜,52.54%,0.46%,0.01%,55.01185317534544,A
黄忠,50.70%,0.44%,0.02%,50.66573335064539,B
姫小満,47.54%,0.44%,0.02%,44.854014224070596,D
西施,51.52%,0.41%,0.05%,52.49191260904108,B
アグド,48.58%,0.42%,0.03%,46.55576787453588,C
孫臏,48.48%,0.41%,0.02%,46.36597349522129,C
扁鵲,48.35%,0.38%,0.06%,46.14607233933417,C
孔子,48.92%,0.39%,0.02%,47.1199392039445,C
ユンエイ,48.86%,0.37%,0.04%,47.00931368421789,C
ムーラン,49.80%,0.37%,0.01%,48.74562803270482,C
劉邦,48.59%,0.32%,0.01%,46.46834420891364,C
雲中君,51.63%,0.31%,0.02%,52.63858517619724,B
劉備,50.91%,0.30%,0.02%,50.99515858296582,B
ナタク,48.00%,0.30%,0.01%,45.45689353935616,C
アタ,49.19%,0.29%,0.01%,47.5182114250236,C
モンキ,51.48%,0.27%,0.01%,52.24910318034139,B
鏡,44.39%,0.24%,0.04%,40.47181825367972,D
タイガー,47.00%,0.24%,0.01%,43.85291986142767,D
楊戩,48.64%,0.21%,0.01%,46.47221726174053,C
鬼谷子,48.92%,0.20%,0.02%,46.96858953246937,C
関羽,44.08%,0.18%,0.01%,40.059623570790855,D
百里玄策,45.70%,0.13%,0.01%,41.97407835016916,D
アテナ,48.37%,0.05%,0.00%,45.90344994228443,C
