name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,46.91%,1.03%,5.75%,49.29404470973932,C
妲己,51.19%,2.37%,2.69%,57.52778218099772,A
ミレディ,49.58%,1.61%,3.99%,53.87801616996092,B
アンジェラ,50.85%,2.05%,2.81%,56.45704987456618,A
Haya,49.17%,1.86%,3.17%,53.02754789590934,B
后羿,50.15%,2.93%,0.29%,53.867805410005474,B
白龍,47.80%,1.14%,3.74%,49.41105122088323,C
張良,51.24%,0.83%,4.00%,55.514243403915266,A
マルコ・ポーロ,49.60%,2.38%,0.48%,52.568610891091446,B
李信,53.60%,1.85%,1.43%,61.96273933572613,S
Chicha,50.84%,1.85%,1.12%,54.816228920695856,B
ドリア,46.13%,2.02%,0.51%,46.491677970385666,C
王昭君,50.92%,1.76%,0.42%,54.28352363556806,B
墨子,49.97%,1.23%,1.46%,51.8103553248838,B
孫尚香,47.66%,1.91%,0.08%,48.22434263961901,C
蔡文姫,50.85%,1.24%,1.37%,53.601836620821146,B
東皇太一,48.57%,0.77%,2.31%,48.82789227509604,C
小喬,48.92%,1.85%,0.13%,50.27370297312802,B
瑶,48.83%,1.24%,1.25%,49.529199150121386,C
カイザー,51.53%,1.71%,0.20%,55.39043758345691,A
少司縁,48.91%,1.26%,1.07%,49.58670553468882,C
虞美人,51.69%,1.60%,0.17%,55.49470871765469,A
エリン,51.42%,1.59%,0.17%,54.84040510312579,B
ルアンナ,52.61%,1.56%,0.17%,57.682447371130166,A
孔明,48.83%,1.40%,0.22%,49.155700519062066,C
伽羅,53.67%,1.34%,0.28%,60.127141268608824,S
魯班7号,50.83%,1.43%,0.11%,53.08689901904751,B
夏侯惇,51.02%,1.32%,0.23%,53.31935829786591,B
Yango,43.05%,1.03%,0.75%,40.84191826891677,D
孫悟空,49.54%,1.24%,0.27%,50.10333453066745,B
ユンエイ,53.03%,1.24%,0.20%,58.028284575698926,A
甄姫,52.44%,1.29%,0.08%,56.51116916541027,A
公孫離,46.34%,1.01%,0.52%,44.51275616290525,D
瀾,48.43%,0.98%,0.57%,47.70751655685601,C
宮本武蔵,50.47%,1.15%,0.21%,51.6996948403043,B
アーサー,51.62%,1.19%,0.10%,54.26913573090027,B
蘭陵王,49.03%,0.49%,1.37%,48.499276979165785,C
貂蝉,47.91%,1.08%,0.19%,46.78373359567467,C
大喬,49.18%,0.91%,0.53%,48.85852585402065,C
元流の子（マークスマン）,51.85%,1.10%,0.05%,54.56221356621044,B
阿軻,51.44%,0.63%,0.98%,53.35450752389844,B
鐘馗,50.55%,0.89%,0.41%,51.43243025427868,B
バイロン,49.02%,1.04%,0.11%,48.536228229251016,C
ミーユエ,50.33%,0.72%,0.70%,50.866831692904846,B
呂布,48.39%,1.01%,0.12%,47.36854156085315,C
荘子,49.97%,0.62%,0.88%,50.10632042497538,B
仁傑,51.51%,1.03%,0.03%,53.58036247085046,B
典韋,51.52%,0.91%,0.24%,53.498791408735926,B
女媧,51.69%,0.88%,0.29%,53.873545275669585,B
不知火舞,48.60%,0.89%,0.20%,47.531282668744915,C
李元芳,51.22%,0.96%,0.04%,52.76726173219337,B
