name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.91%,2.01%,3.89%,59.67961092423024,A
白龍,48.20%,1.37%,4.99%,51.65523128479762,B
大司命,48.63%,1.34%,5.02%,52.337023724414564,B
アンジェラ,51.76%,2.05%,2.48%,58.32233819110191,A
李信,53.38%,2.26%,1.48%,62.036617089071136,S
張良,50.97%,0.74%,4.47%,55.14806475034973,A
ミレディ,48.87%,1.77%,1.69%,51.25536370637028,B
后羿,49.18%,2.45%,0.15%,51.60346763813777,B
Devara,43.05%,2.02%,0.55%,42.96236020562954,D
王昭君,51.82%,1.95%,0.62%,56.91348350926963,A
魯班7号,53.24%,2.11%,0.26%,60.54685280625924,S
Haya,50.31%,1.03%,2.35%,52.76468378801962,B
マルコ・ポーロ,49.02%,1.98%,0.29%,50.85590324747444,B
東皇太一,48.19%,0.67%,2.65%,48.30845803877587,C
夏侯惇,53.72%,1.70%,0.51%,61.3752093325291,S
ドリア,46.18%,1.71%,0.45%,45.9886465788442,C
Florentino,47.28%,0.99%,1.87%,46.919673622210176,C
蔡文姫,50.82%,1.13%,1.55%,53.48289903692223,B
孫悟空,49.81%,1.70%,0.36%,51.87363695152206,B
孫尚香,47.51%,1.74%,0.07%,47.707924740251,C
Annette,49.46%,1.25%,1.01%,50.61391389101145,B
Lorion,44.99%,1.10%,1.30%,43.63210606860209,D
小喬,48.99%,1.66%,0.13%,50.069809806200766,B
瑶,48.75%,1.08%,1.15%,49.00306400999007,C
墨子,50.34%,1.15%,0.95%,52.06431950133065,B
Chicha,50.96%,1.45%,0.34%,53.67469919400985,B
虞美人,51.63%,1.49%,0.17%,55.16967487622301,A
エリン,51.22%,1.50%,0.15%,54.23303095266496,B
少司縁,48.65%,1.07%,0.98%,48.67609686946753,C
ルアンナ,52.87%,1.46%,0.16%,58.197358016092274,A
カイザー,51.62%,1.42%,0.14%,54.95321798082865,B
孔明,50.09%,1.31%,0.18%,51.373513491416176,B
伽羅,53.01%,1.17%,0.21%,57.8909371781542,A
大喬,49.67%,1.00%,0.46%,49.998763092119546,C
荘子,49.81%,0.68%,1.02%,50.0382809258558,B
アーサー,50.83%,1.13%,0.11%,52.424619011296,B
宮本武蔵,50.56%,1.06%,0.17%,51.7224894324945,B
瀾,48.19%,0.95%,0.40%,47.17855786252689,C
廉頗,52.39%,1.03%,0.14%,55.877044441965886,A
典韋,51.30%,0.95%,0.24%,53.146418355103535,B
鐘馗,50.01%,0.85%,0.44%,50.324939752382406,B
公孫離,46.58%,0.91%,0.33%,44.55642879674246,D
呂布,49.13%,0.99%,0.12%,48.703630313076474,C
元流の子（マークスマン）,51.64%,0.99%,0.05%,53.881874702267865,B
甄姫,50.84%,0.99%,0.04%,52.06266627658995,B
ミーユエ,51.35%,0.68%,0.65%,53.027929368025966,B
張飛,49.71%,0.87%,0.26%,49.63993874729131,C
李白,51.57%,0.88%,0.19%,53.58011446799438,B
女媧,52.18%,0.80%,0.31%,54.97801473491882,B
李元芳,49.91%,0.93%,0.04%,49.99640951717674,C
阿軻,51.67%,0.57%,0.70%,53.62847907644504,B
百里守約,50.13%,0.86%,0.09%,50.32488194534151,B
ハイノ,47.99%,0.81%,0.18%,46.38689829421678,C
ユンエイ,52.94%,0.83%,0.09%,56.837116200344646,A
不知火舞,49.06%,0.76%,0.15%,48.114244423706005,C
太公望,51.05%,0.78%,0.09%,52.11627658785534,B
アレッシオ,51.48%,0.81%,0.03%,53.10640759039905,B
貂蝉,48.60%,0.76%,0.09%,47.25075388686679,C
シャルロット,50.91%,0.76%,0.07%,51.75396928405997,B
ガルダ,51.79%,0.77%,0.04%,53.76564930812514,B
劉禅,49.87%,0.74%,0.10%,49.575039978335276,C
仁傑,51.14%,0.77%,0.02%,52.245276922450536,B
蘭陵王,49.34%,0.49%,0.58%,48.50866049343555,C
蒼,50.91%,0.73%,0.07%,51.69765272036457,B
孫策,49.26%,0.75%,0.03%,48.3730636589655,C
バイロン,48.69%,0.72%,0.07%,47.3182321374229,C
ルナ,47.98%,0.59%,0.30%,46.0665273437371,C
項羽,51.52%,0.70%,0.04%,52.99835850253642,B
棋星,51.74%,0.67%,0.04%,53.46336218126734,B
アレン,51.08%,0.66%,0.05%,51.93345490504532,B
西施,50.65%,0.56%,0.22%,50.961243342403236,B
司馬懿,51.29%,0.61%,0.09%,52.35293303273088,B
上官婉児,48.69%,0.61%,0.07%,47.12848603723712,C
ナコルル,50.65%,0.61%,0.06%,50.9198110371001,B
影,50.93%,0.61%,0.06%,51.52586525477789,B
元流の子（タンク）,48.91%,0.59%,0.10%,47.50923713485708,C
アタ,53.15%,0.57%,0.05%,56.911079989417736,A
バタフライ,52.23%,0.56%,0.07%,54.501974329439065,B
趙雲,51.91%,0.58%,0.02%,53.708104646546126,B
扁鵲,50.13%,0.54%,0.09%,49.75216909997137,C
曜,51.38%,0.55%,0.04%,52.4274333724815,B
ナタク,51.62%,0.52%,0.08%,52.970842449939255,B
明世隠,51.24%,0.53%,0.04%,52.0785278165217,B
ムーラン,50.39%,0.53%,0.04%,50.233620069541345,B
干将・莫耶,50.24%,0.48%,0.11%,49.90552325968497,C
元流の子（メイジ）,52.00%,0.50%,0.06%,53.838110006519955,B
姫小満,49.43%,0.49%,0.07%,48.29542459493363,C
啓,53.56%,0.49%,0.02%,57.91819417288007,A
楊貴妃,50.58%,0.49%,0.02%,50.56034312180891,B
白起,50.90%,0.47%,0.05%,51.244560657933846,B
周瑜,51.72%,0.47%,0.02%,53.09213164810775,B
ハロルド,50.93%,0.44%,0.07%,51.28548013244549,B
Yango,49.14%,0.41%,0.13%,47.694921684785704,C
Lapulapu,55.29%,0.44%,0.03%,63.250929936943876,S
アグド,50.90%,0.45%,0.04%,51.210325978596536,B
劉備,54.34%,0.43%,0.05%,60.1767080711677,S
孔子,53.52%,0.41%,0.07%,57.73620753475425,A
蒙牙,53.45%,0.44%,0.01%,57.53104382043704,A
黄忠,50.88%,0.44%,0.02%,51.1385078676478,B
ファーティフ,52.78%,0.42%,0.05%,55.705318931222806,A
関羽,47.76%,0.39%,0.12%,45.29725229231361,C
漸離,51.16%,0.41%,0.05%,51.74295450304778,B
韓信,49.19%,0.38%,0.11%,47.73529132533192,C
橘右京,50.47%,0.42%,0.02%,50.235535168634,B
鏡,45.99%,0.36%,0.15%,42.69087104976715,D
鐘無艶,51.31%,0.35%,0.02%,51.988207131890285,B
楊戩,51.15%,0.35%,0.02%,51.62632025708923,B
孫臏,50.47%,0.34%,0.03%,50.1474418156569,B
鬼谷子,51.87%,0.23%,0.24%,53.34088750698233,B
タイガー,52.88%,0.28%,0.10%,55.848003319631694,A
劉邦,49.64%,0.25%,0.01%,48.36799298474555,C
百里玄策,52.47%,0.22%,0.03%,54.66497698477725,B
雲中君,50.39%,0.22%,0.01%,49.841804402215004,C
達磨,51.63%,0.21%,0.02%,52.58532965190413,B
モンキ,52.21%,0.20%,0.01%,53.9744121598783,B
アテナ,52.80%,0.07%,0.00%,55.37664181462958,A
