name,win_rate,pick_rate,ban_rate,meta_score,tier
白龍,48.42%,1.57%,5.06%,52.48615790283023,B
妲己,51.03%,2.38%,3.13%,57.51015028956512,A
アンジェラ,51.81%,2.30%,3.02%,59.14218902455964,A
大司命,46.93%,1.18%,5.05%,49.15302889573695,C
張良,51.46%,0.76%,5.05%,56.6734557380033,A
ミレディ,48.95%,1.90%,2.40%,52.12515565216131,B
后羿,49.28%,2.85%,0.20%,52.07567940640244,B
李信,52.58%,1.86%,1.33%,59.127301323991595,A
東皇太一,48.66%,0.79%,3.39%,49.831736771121854,C
Haya,49.78%,0.93%,3.01%,51.90003682370597,B
マルコ・ポーロ,50.06%,2.12%,0.30%,53.02554913399803,B
王昭君,51.19%,1.92%,0.61%,55.34025652209155,A
蔡文姫,50.31%,1.27%,1.89%,52.9216696054595,B
孫尚香,48.31%,2.11%,0.09%,49.62343674759992,C
ドリア,46.06%,1.83%,0.52%,46.061436217903335,C
小喬,48.60%,1.85%,0.16%,49.73081575249544,C
魯班7号,52.01%,1.79%,0.18%,56.69110753878789,A
墨子,49.95%,1.24%,1.10%,51.525244870706814,B
瑶,48.02%,1.15%,1.25%,47.92465172146782,C
カイザー,51.38%,1.63%,0.17%,54.841388449382535,B
ルアンナ,53.00%,1.60%,0.20%,58.83198209069538,A
夏侯惇,52.28%,1.50%,0.31%,56.79996551319726,A
Chicha,50.17%,1.47%,0.37%,51.99274078792508,B
少司縁,48.10%,1.11%,1.07%,47.8257037280793,C
虞美人,51.88%,1.53%,0.20%,55.80515553298262,A
エリン,51.52%,1.50%,0.16%,54.84896373319262,B
アーサー,50.54%,1.47%,0.15%,52.59452638452185,B
孔明,49.19%,1.37%,0.22%,49.733032578897095,C
張飛,50.09%,1.23%,0.41%,51.26357785029371,B
孫悟空,49.74%,1.29%,0.26%,50.60598434779617,B
伽羅,52.89%,1.27%,0.25%,57.763794098299215,A
典韋,51.80%,1.13%,0.41%,54.78353766084088,B
ハイノ,48.03%,1.16%,0.24%,47.207736972251105,C
呂布,48.32%,1.18%,0.15%,47.67209357128506,C
瀾,48.80%,1.01%,0.48%,48.35110887305327,C
鐘馗,49.75%,0.98%,0.44%,50.02213362106895,B
荘子,49.93%,0.66%,1.05%,50.21774893435227,B
大喬,49.10%,0.92%,0.49%,48.70269959239288,C
宮本武蔵,50.72%,1.05%,0.20%,51.986810924267836,B
アレン,51.02%,1.09%,0.10%,52.65944884223987,B
ユンエイ,52.35%,1.03%,0.19%,55.73860468387189,A
ミーユエ,49.51%,0.72%,0.74%,49.26944350204883,C
元流の子（マークスマン）,51.77%,1.03%,0.06%,54.21555117175684,B
元流の子（タンク）,48.47%,0.96%,0.21%,47.462274132814876,C
甄姫,51.37%,1.02%,0.05%,53.249307849082726,B
女媧,51.54%,0.83%,0.42%,53.51874371950054,B
李元芳,50.42%,1.00%,0.04%,51.11818784474562,B
阿軻,52.37%,0.59%,0.80%,55.40941296201664,A
公孫離,47.01%,0.79%,0.36%,44.898623667755395,D
廉頗,51.14%,0.91%,0.10%,52.525629177776736,B
劉禅,49.64%,0.86%,0.11%,49.30852459111019,C
アレッシオ,51.49%,0.87%,0.04%,53.19680194478007,B
貂蝉,48.22%,0.84%,0.10%,46.70735758337432,C
孫策,49.12%,0.87%,0.03%,48.29105969506486,C
太公望,51.28%,0.83%,0.10%,52.679986037872965,B
バイロン,48.43%,0.83%,0.09%,47.03550716028546,C
蘭陵王,49.20%,0.53%,0.68%,48.34673400950637,C
シャルロット,50.51%,0.82%,0.07%,50.95348369686434,B
ガルダ,51.06%,0.83%,0.04%,52.14036351406238,B
不知火舞,48.74%,0.76%,0.16%,47.49432891265569,C
百里守約,51.50%,0.79%,0.09%,53.10162033362084,B
項羽,50.66%,0.80%,0.04%,51.210813794280405,B
ナコルル,50.67%,0.76%,0.10%,51.20294154047938,B
仁傑,51.70%,0.79%,0.02%,53.5185325054625,B
李白,51.96%,0.70%,0.17%,54.09440275980203,B
棋星,51.76%,0.71%,0.04%,53.53225789963409,B
姫小満,47.51%,0.67%,0.11%,45.260222063879574,C
アタ,54.08%,0.68%,0.06%,59.72382073934677,A
西施,50.70%,0.58%,0.26%,51.09092069814543,B
韓信,52.14%,0.60%,0.21%,54.40556673589926,B
扁鵲,50.11%,0.64%,0.11%,49.84132613130297,C
ルナ,48.88%,0.54%,0.32%,47.50918918302678,C
蒼,50.52%,0.65%,0.07%,50.6736046855053,B
影,49.48%,0.63%,0.06%,48.55340269025796,C
上官婉児,47.70%,0.62%,0.05%,45.43440256497461,C
元流の子（メイジ）,51.38%,0.58%,0.07%,52.45776807854468,B
趙雲,52.69%,0.60%,0.02%,55.66371646095954,A
漸離,50.91%,0.55%,0.11%,51.39026676615737,B
バタフライ,52.36%,0.54%,0.07%,54.76429023635722,B
ナタク,51.60%,0.53%,0.08%,52.90462450160987,B
曜,51.44%,0.54%,0.04%,52.51598620351789,B
Yango,49.53%,0.45%,0.18%,48.48654324097794,C
Lapulapu,55.31%,0.51%,0.04%,63.38980828026658,S
啓,53.27%,0.52%,0.03%,57.11922442730821,A
干将・莫耶,50.40%,0.46%,0.12%,50.188459399051204,B
周瑜,51.16%,0.51%,0.02%,51.82208390940067,B
鏡,45.47%,0.44%,0.17%,42.09938510959116,D
黄忠,51.19%,0.49%,0.02%,51.863055222267384,B
孔子,52.61%,0.45%,0.08%,55.29434859784432,A
明世隠,49.93%,0.47%,0.03%,49.17785843383036,C
