name,win_rate,pick_rate,ban_rate,meta_score,tier
ミレディ,50.24%,1.83%,4.95%,56.33355136309611,A
大司命,47.96%,1.16%,5.90%,51.27473334384622,B
妲己,50.08%,2.84%,2.21%,55.13672969464525,A
后羿,52.35%,3.70%,0.31%,59.055804473881366,A
アンジェラ,50.83%,2.30%,2.88%,56.78271612192193,A
白龍,46.88%,1.15%,3.38%,47.691300516631365,C
東皇太一,48.96%,0.98%,3.35%,50.667980001067896,B
Lapulapu,55.62%,1.88%,1.31%,68.30149426457254,S
張良,50.46%,0.88%,3.18%,53.251376697414685,B
蔡文姫,52.32%,1.59%,1.38%,57.85661585104424,A
マルコ・ポーロ,47.44%,2.04%,0.39%,48.30023638341095,C
瀾,48.92%,1.34%,1.75%,50.24731631558048,B
小喬,48.02%,2.07%,0.17%,49.10861825542008,C
孔明,49.64%,1.83%,0.51%,51.81055087494614,B
魯班7号,50.62%,1.97%,0.19%,53.82599196051745,B
王昭君,49.93%,1.89%,0.34%,52.370435862858265,B
李信,51.78%,1.63%,0.64%,56.07044170981958,A
瑶,47.10%,1.25%,1.14%,46.57915863475491,C
墨子,49.14%,1.20%,1.18%,49.87360837243736,C
孫尚香,46.51%,1.69%,0.06%,45.98530072098652,C
蘭陵王,49.49%,0.57%,2.25%,50.0970175526177,B
宮本武蔵,50.11%,1.45%,0.46%,51.82310454852632,B
ドリア,45.61%,1.42%,0.31%,44.30827041803208,D
虞美人,50.43%,1.49%,0.14%,52.33975943359261,B
少司縁,47.20%,1.10%,0.88%,46.17492907787995,C
甄姫,52.06%,1.49%,0.07%,55.983565616486615,A
女媧,52.08%,1.20%,0.63%,55.733487139011686,A
阿軻,51.52%,0.71%,1.60%,54.09969791908284,B
カイザー,49.97%,1.42%,0.12%,51.21224473550351,B
夏侯惇,49.93%,1.32%,0.21%,50.95036122340978,B
大喬,48.57%,1.08%,0.67%,48.190717271529884,C
伽羅,52.44%,1.29%,0.21%,56.542142848429926,A
エリン,50.35%,1.31%,0.14%,51.72485998671405,B
典韋,51.76%,1.16%,0.38%,54.674247093113756,B
ルアンナ,51.22%,1.27%,0.15%,53.515799256615,B
アーサー,49.33%,1.22%,0.08%,49.44927105645667,C
ルナ,49.16%,0.67%,1.17%,48.818079899029335,C
太公望,51.00%,1.11%,0.26%,52.72092091616014,B
ミーユエ,50.48%,0.80%,0.88%,51.416357134220036,B
荘子,49.80%,0.78%,0.86%,49.985810399401785,C
公孫離,48.30%,0.78%,0.84%,47.24013326519435,C
仁傑,52.97%,1.13%,0.03%,57.408165053098294,A
孫悟空,47.35%,1.01%,0.19%,45.68266911922875,C
元流の子（マークスマン）,51.82%,1.06%,0.06%,54.344829190153945,B
呂布,48.28%,1.02%,0.09%,47.12513669341314,C
鐘馗,48.42%,0.84%,0.43%,47.246923430887186,C
アレッシオ,52.13%,1.03%,0.04%,55.017900296211785,A
バイロン,48.40%,1.00%,0.09%,47.28457653769527,C
貂蝉,49.48%,0.97%,0.13%,49.19367917734438,C
不知火舞,48.53%,0.87%,0.31%,47.40362773988232,C
張飛,49.14%,0.94%,0.13%,48.49586304862688,C
ハイノ,48.28%,0.87%,0.20%,46.89483165492592,C
孫策,48.56%,0.93%,0.04%,47.373530685248014,C
ガルダ,50.36%,0.89%,0.11%,50.760326850240276,B
劉禅,49.20%,0.86%,0.16%,48.46811738979554,C
シャルロット,47.68%,0.86%,0.11%,45.8272129281965,C
干将・莫耶,50.72%,0.69%,0.42%,51.39194658944664,B
西施,48.98%,0.82%,0.17%,47.997900766046065,C
百里守約,49.43%,0.84%,0.08%,48.79930917884802,C
李元芳,48.37%,0.86%,0.03%,46.900114230354625,C
蒼,50.22%,0.82%,0.07%,50.307185422077296,B
廉頗,50.13%,0.81%,0.09%,50.12047975778057,B
影,49.46%,0.77%,0.15%,48.780211554344376,C
ナコルル,49.73%,0.75%,0.17%,49.27883366308037,C
李白,52.21%,0.68%,0.24%,54.694269896830704,B
ユンエイ,51.90%,0.67%,0.16%,53.85694673027187,B
棋星,51.12%,0.70%,0.09%,52.03782749948699,B
楊戩,52.49%,0.66%,0.12%,55.28114053260952,A
元流の子（タンク）,48.39%,0.65%,0.10%,46.62167761004622,C
啓,52.79%,0.65%,0.07%,56.00948306529398,A
楊貴妃,50.36%,0.65%,0.07%,50.30645311772167,B
黄忠,52.82%,0.62%,0.11%,56.07366209084192,A
白起,52.98%,0.61%,0.11%,56.48661955886413,A
項羽,50.66%,0.65%,0.03%,50.907870531223054,B
扁鵲,50.78%,0.60%,0.12%,51.1588214512372,B
曜,50.85%,0.61%,0.07%,51.28772513524103,B
韓信,51.34%,0.55%,0.18%,52.379444449624856,B
鐘無艶,50.67%,0.58%,0.04%,50.83380884213357,B
趙雲,50.40%,0.58%,0.02%,50.24911476248932,B
元流の子（メイジ）,50.39%,0.54%,0.09%,50.22609481985617,B
周瑜,52.04%,0.56%,0.04%,53.946137122804195,B
バタフライ,50.68%,0.52%,0.10%,50.819230515850975,B
明世隠,49.55%,0.49%,0.04%,48.44882831888983,C
孔子,51.01%,0.48%,0.05%,51.44958362903745,B
ムーラン,51.15%,0.48%,0.04%,51.75401954520775,B
