name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.60%,2.71%,3.51%,59.3485886093091,A
大司命,48.02%,1.06%,5.99%,51.24712477299864,B
ミレディ,49.32%,1.68%,4.71%,54.06664749932965,B
Chicha,51.20%,2.13%,3.68%,57.995435998841124,A
アンジェラ,51.68%,2.31%,2.36%,58.34358894710277,A
白龍,46.49%,1.17%,4.19%,47.829375469524045,C
后羿,49.91%,2.99%,0.23%,53.367189136259796,B
張良,50.70%,0.96%,3.55%,54.237025060698464,B
李信,53.59%,2.02%,0.98%,61.88883470373084,S
マルコ・ポーロ,50.16%,2.20%,0.45%,53.441653805708945,B
小喬,48.94%,2.10%,0.16%,50.750021133953844,B
孫尚香,48.33%,2.06%,0.10%,49.57923708201969,C
東皇太一,48.72%,0.85%,2.48%,49.3547924457411,C
蔡文姫,50.91%,1.37%,1.33%,54.005169337212315,B
王昭君,50.54%,1.83%,0.30%,53.50326682150091,B
虞美人,52.43%,1.85%,0.20%,57.85967981312182,A
墨子,50.21%,1.31%,1.25%,52.31429455174431,B
エリン,51.62%,1.75%,0.19%,55.6623580915189,A
瑶,46.63%,1.26%,1.12%,45.94610459828098,C
魯班7号,51.42%,1.73%,0.15%,55.12353928690815,A
ドリア,45.44%,1.49%,0.41%,44.38386723720472,D
伽羅,54.60%,1.53%,0.27%,63.381582858442826,S
孔明,48.29%,1.44%,0.31%,48.36564738044237,C
少司縁,47.63%,1.11%,0.90%,46.91856939842989,C
孫悟空,49.53%,1.32%,0.24%,50.239068257131144,B
瀾,49.33%,1.02%,0.79%,49.55274078327223,C
甄姫,52.44%,1.33%,0.09%,56.59668935554991,A
カイザー,51.24%,1.32%,0.11%,53.700137725307236,B
夏侯惇,50.88%,1.25%,0.17%,52.7704211021641,B
ミーユエ,49.67%,0.88%,0.81%,49.91571786928225,C
ルアンナ,51.58%,1.23%,0.09%,54.244599008473,B
阿軻,52.62%,0.67%,1.21%,56.47271082977396,A
女媧,51.67%,1.03%,0.48%,54.273937548156795,B
Haya,46.18%,0.97%,0.61%,44.2533729184864,D
公孫離,46.48%,0.93%,0.61%,44.58360479915447,D
大喬,48.26%,0.93%,0.58%,47.30144031279628,C
宮本武蔵,50.80%,1.10%,0.21%,52.26344303854312,B
