name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.91%,1.22%,7.07%,55.59633776719986,A
白龍,47.40%,1.33%,6.55%,51.06787199454432,B
瀾,49.78%,1.69%,4.96%,54.90946310884494,B
妲己,50.54%,3.32%,0.53%,55.03458099469159,A
孫尚香,46.56%,3.05%,0.12%,47.70833517943482,C
阿軻,52.58%,1.22%,3.34%,58.864806564226946,A
后羿,52.73%,2.73%,0.09%,59.60724610379213,A
アンジェラ,49.99%,2.21%,0.73%,53.20949497185964,B
夏侯惇,53.24%,2.36%,0.19%,60.69138321725632,S
典韋,54.14%,2.06%,0.74%,63.237379013082666,S
マルコ・ポーロ,48.32%,2.35%,0.18%,49.92504326142553,C
少司縁,49.29%,1.41%,1.69%,50.82763627383396,B
李信,52.59%,1.89%,0.15%,58.10886955940227,A
瑶,50.07%,1.58%,0.68%,52.00535846126483,B
虞美人,52.02%,1.86%,0.08%,56.555288140716,A
ミレディ,49.17%,1.70%,0.37%,50.33325413811479,B
大喬,49.79%,1.31%,0.94%,50.9753066698685,B
ルアンナ,53.66%,1.64%,0.16%,60.46212886593648,S
小喬,49.57%,1.59%,0.03%,50.560415156358545,B
魯班7号,51.39%,1.55%,0.06%,54.30767083061683,B
女媧,52.13%,1.24%,0.61%,55.72474708645607,A
ドリア,47.51%,1.44%,0.22%,46.76207210202117,C
張良,50.66%,1.23%,0.63%,52.333265147789376,B
蘭陵王,47.86%,0.65%,1.77%,46.90208691902133,C
孔明,49.19%,1.48%,0.10%,49.62417338764236,C
アグド,47.30%,1.37%,0.29%,46.31720132087194,C
啓,53.50%,1.35%,0.29%,59.38193128095688,A
蔡文姫,51.43%,1.27%,0.40%,53.964818045773555,B
墨子,48.93%,1.22%,0.38%,48.72854365154831,C
不知火舞,47.89%,1.27%,0.25%,46.97320335007887,C
エリン,51.24%,1.32%,0.08%,53.41040814284021,B
東皇太一,48.45%,1.03%,0.60%,47.63809815574039,C
司馬懿,52.98%,1.17%,0.21%,57.459726708484176,A
貂蝉,53.15%,1.22%,0.11%,57.96071641088213,A
孫悟空,47.28%,1.21%,0.12%,45.7770410832727,C
アーサー,49.05%,1.25%,0.03%,48.75295492650538,C
孫策,48.27%,1.21%,0.03%,47.29520815836841,C
ミーユエ,51.78%,1.08%,0.26%,54.25447323783335,B
アレッシオ,53.59%,1.16%,0.07%,59.02703543756145,A
太公望,50.36%,1.17%,0.05%,51.129607880711575,B
伽羅,54.01%,1.16%,0.06%,60.24794477612746,S
甄姫,51.97%,1.18%,0.01%,54.7439064042366,B
公孫離,49.24%,1.03%,0.23%,48.76861873725576,C
棋星,52.87%,1.05%,0.13%,56.84652964953851,A
劉禅,49.48%,1.05%,0.07%,49.13962271688279,C
呂布,48.61%,1.07%,0.03%,47.5690501905914,C
ハイノ,49.69%,1.00%,0.12%,49.47951146152052,C
干将・莫耶,51.54%,0.97%,0.14%,53.37665790220538,B
仁傑,53.93%,1.02%,0.02%,59.68305165411336,A
宮本武蔵,46.52%,0.98%,0.06%,44.12802038701648,D
鐘馗,49.92%,0.94%,0.12%,49.815987607646505,C
韓信,50.91%,0.88%,0.23%,51.85535292697396,B
廉頗,50.13%,0.95%,0.05%,50.20318971237063,B
王昭君,49.35%,0.90%,0.03%,48.57651824320301,C
趙雲,51.52%,0.88%,0.02%,53.07567755044691,B
カイザー,49.76%,0.87%,0.04%,49.31587654940915,C
項羽,52.65%,0.82%,0.01%,55.752613920137854,A
ルナ,49.29%,0.77%,0.11%,48.30936736177097,C
李元芳,46.78%,0.80%,0.04%,44.168337256955176,D
明世隠,51.98%,0.76%,0.07%,54.01417786604778,B
百里守約,47.71%,0.72%,0.05%,45.46759679834693,C
漸離,53.40%,0.71%,0.03%,57.630722114533775,A
張飛,49.76%,0.70%,0.05%,49.05841516263858,C
アレン,49.95%,0.70%,0.02%,49.41045055133405,C
荘子,48.00%,0.59%,0.22%,45.89207731951792,C
バタフライ,49.98%,0.66%,0.07%,49.453310210923945,C
ハロルド,44.48%,0.61%,0.09%,40.960249841411915,D
バイロン,48.24%,0.63%,0.02%,46.18921723254572,C
李白,49.53%,0.60%,0.03%,48.468796169459885,C
シャルロット,44.95%,0.59%,0.03%,41.4450737664991,D
周瑜,52.33%,0.58%,0.01%,54.59567894257255,B
ナコルル,50.59%,0.58%,0.02%,50.571054170830514,B
姫小満,48.15%,0.58%,0.03%,45.98513503306984,C
曜,47.41%,0.56%,0.01%,44.76119772173442,D
アタ,49.60%,0.51%,0.03%,48.50017586565518,C
上官婉児,46.68%,0.51%,0.01%,43.61913353969758,D
鐘無艶,53.28%,0.49%,0.01%,57.012167293317184,A
黄忠,50.40%,0.49%,0.02%,50.07210333137669,B
ユンエイ,49.48%,0.47%,0.05%,48.24459938036821,C
西施,52.08%,0.47%,0.04%,53.87478543448777,B
扁鵲,49.49%,0.46%,0.07%,48.26864613735561,C
鬼谷子,46.99%,0.47%,0.05%,44.05957749844458,D
孔子,48.65%,0.47%,0.02%,46.709840277271105,C
橘右京,48.99%,0.46%,0.02%,47.30423338442435,C
達磨,51.56%,0.43%,0.02%,52.57316390255996,B
劉邦,49.22%,0.41%,0.02%,47.677386063509,C
