name,win_rate,pick_rate,ban_rate,meta_score,tier
啓,54.32%,1.58%,0.84%,62.76379622252031,S
典韋,54.18%,2.34%,0.84%,63.867863525142226,S
棋星,53.72%,1.25%,0.18%,59.665090277923134,A
女媧,53.52%,1.55%,0.91%,60.37295601952346,S
李信,52.82%,1.95%,0.15%,58.816687181717704,A
ルアンナ,52.78%,1.85%,0.15%,58.494600038887334,A
夏侯惇,52.73%,2.43%,0.16%,59.37183259625327,A
エリン,52.59%,1.61%,0.09%,57.38178837517509,A
仁傑,52.48%,1.04%,0.02%,55.70351764803965,A
阿軻,52.45%,1.26%,3.45%,58.68073830137111,A
漸離,52.44%,0.68%,0.05%,55.021505098959715,A
西施,52.13%,0.55%,0.04%,54.07647782316571,B
少司縁,52.08%,1.76%,2.05%,57.92713819179193,A
瀾,52.02%,2.13%,5.71%,61.29348740768341,S
干将・莫耶,52.00%,0.97%,0.12%,54.44106084679853,B
魯班7号,51.94%,1.84%,0.09%,56.29933610338244,A
雲中君,51.79%,0.48%,0.03%,53.16819893071679,B
韓信,51.67%,0.94%,0.15%,53.61495357763824,B
甄姫,51.56%,1.05%,0.01%,53.463539846224116,B
モンキ,51.47%,0.38%,0.02%,52.31534132962761,B
劉禅,51.36%,1.30%,0.13%,53.64660732022199,B
妲己,51.31%,3.39%,0.44%,56.67963434057907,A
橘右京,51.29%,0.33%,0.01%,51.853829322755196,B
后羿,51.26%,2.71%,0.10%,56.0060342703485,A
孫策,51.19%,1.91%,0.07%,54.683929250819084,B
趙雲,50.96%,0.82%,0.02%,51.69217778391247,B
黄忠,50.93%,0.58%,0.03%,51.304467604907316,B
蔡文姫,50.86%,1.22%,0.34%,52.499152789686896,B
明世隠,50.83%,0.86%,0.06%,51.503216457057455,B
周瑜,50.82%,0.42%,0.01%,50.88493911066442,B
蒙牙,50.76%,0.52%,0.03%,50.868075101313124,B
達磨,50.67%,0.47%,0.03%,50.62382361681054,B
孫悟空,50.58%,1.47%,0.17%,52.374197354022485,B
墨子,50.54%,1.22%,0.34%,51.81271826668592,B
劉邦,50.47%,0.38%,0.01%,50.10320225062361,B
百里守約,50.42%,0.95%,0.06%,50.78861506843933,B
貂蝉,50.39%,1.06%,0.06%,50.940298415455146,B
孔明,50.16%,1.76%,0.09%,52.15544850893647,B
ユンエイ,50.15%,0.56%,0.06%,49.65719493586561,C
虞美人,50.08%,1.95%,0.08%,52.40925449206733,B
ナタク,49.95%,0.44%,0.01%,49.09446371430824,C
孔子,49.87%,0.58%,0.03%,49.09691559995142,C
ミーユエ,49.84%,0.98%,0.22%,49.78947328646842,C
アーサー,49.81%,1.54%,0.04%,50.88089525767632,B
項羽,49.81%,0.64%,0.01%,49.03633173357384,C
