name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.92%,2.33%,3.26%,59.619974343037505,A
大司命,46.46%,0.98%,5.45%,48.31093472761018,C
ミレディ,49.93%,1.55%,3.85%,54.31451125035696,B
張良,51.77%,0.74%,5.21%,57.48616627935723,A
Haya,49.19%,1.28%,3.73%,52.140730119369,B
アンジェラ,50.84%,2.14%,1.97%,55.938564813512066,A
墨子,49.71%,2.11%,1.77%,53.421587969211316,B
マルコ・ポーロ,48.63%,2.49%,0.46%,50.876778112787015,B
后羿,49.74%,2.49%,0.21%,52.73657538231981,B
李信,52.73%,1.89%,1.40%,59.628040474537954,A
白龍,47.54%,1.24%,2.37%,48.21593978536271,C
カイザー,51.12%,2.00%,0.37%,55.14225081218446,A
東皇太一,48.83%,0.66%,3.00%,49.611463938955794,C
瑶,47.63%,1.33%,1.56%,47.97400931415146,C
小喬,48.92%,1.99%,0.12%,50.520325656428255,B
ドリア,46.13%,1.80%,0.51%,46.08838455852263,C
Chicha,49.75%,1.51%,0.95%,51.688782904013436,B
王昭君,50.95%,1.75%,0.40%,54.31327178483571,B
孫尚香,47.63%,1.89%,0.07%,48.13236133839538,C
ルアンナ,53.72%,1.74%,0.28%,61.221456715413815,S
蔡文姫,50.84%,1.15%,1.47%,53.434832534887725,B
少司縁,48.81%,1.21%,1.20%,49.382127762894825,C
孔明,49.02%,1.69%,0.23%,50.195397390941345,B
虞美人,51.92%,1.67%,0.19%,56.22121363240716,A
Yango,45.00%,1.19%,1.09%,43.62504409873295,D
エリン,51.41%,1.61%,0.16%,54.85661351820611,B
孫悟空,50.47%,1.43%,0.25%,52.42350302967586,B
夏侯惇,51.38%,1.39%,0.28%,54.34358530876746,B
魯班7号,50.77%,1.45%,0.09%,52.991399017609396,B
伽羅,53.96%,1.34%,0.26%,60.961569237333066,S
瀾,48.29%,1.17%,0.51%,47.86711132088997,C
公孫離,46.13%,1.10%,0.55%,44.45466666218927,D
アーサー,52.70%,1.29%,0.12%,57.21357157028614,A
甄姫,52.24%,1.29%,0.07%,55.998202944188435,A
宮本武蔵,50.51%,1.17%,0.21%,51.83213771712164,B
バイロン,48.63%,1.19%,0.14%,48.22133542712247,C
女媧,52.43%,1.05%,0.31%,56.07757652536076,A
大喬,49.29%,0.90%,0.51%,49.026504522109605,C
不知火舞,48.03%,1.05%,0.21%,46.92501670924472,C
ユンエイ,52.82%,1.06%,0.16%,57.00236191191717,A
貂蝉,48.97%,1.07%,0.14%,48.537536476554386,C
荘子,49.56%,0.62%,1.03%,49.41780966436887,C
呂布,48.20%,1.00%,0.10%,47.0107024979558,C
鐘馗,50.49%,0.83%,0.39%,51.170832998732315,B
元流の子（マークスマン）,51.96%,1.00%,0.04%,54.590836376416675,B
阿軻,52.06%,0.57%,0.87%,54.65867646721431,B
典韋,51.96%,0.89%,0.22%,54.48965606745512,B
仁傑,50.85%,0.95%,0.03%,51.91737779404857,B
ミーユエ,50.57%,0.64%,0.63%,51.183227890318584,B
百里守約,51.20%,0.86%,0.09%,52.55065575303525,B
孫策,49.52%,0.89%,0.03%,49.0792937023189,C
太公望,51.22%,0.84%,0.11%,52.57109114920532,B
ハイノ,48.12%,0.80%,0.19%,46.53107359561415,C
ルナ,47.64%,0.59%,0.56%,45.67620408516703,C
李元芳,51.19%,0.85%,0.03%,52.46317221510783,B
廉頗,51.22%,0.82%,0.09%,52.51710786680663,B
張飛,49.98%,0.78%,0.15%,49.851318970768446,C
アレッシオ,51.74%,0.82%,0.03%,53.67813714760752,B
韓信,52.12%,0.72%,0.22%,54.558778609648805,B
劉禅,48.95%,0.77%,0.12%,47.85680134891158,C
棋星,51.51%,0.76%,0.04%,53.031965138623775,B
項羽,50.37%,0.73%,0.04%,50.472197340659925,B
シャルロット,47.95%,0.73%,0.05%,46.01878325212509,C
李白,51.97%,0.67%,0.15%,54.05350341030373,B
ガルダ,51.28%,0.73%,0.03%,52.441896977838,B
蘭陵王,48.96%,0.46%,0.58%,47.74174986362755,C
干将・莫耶,48.80%,0.59%,0.29%,47.416499340854116,C
西施,49.20%,0.61%,0.23%,48.125653693736076,C
ナタク,50.65%,0.64%,0.16%,51.000792170092424,B
蒼,50.66%,0.68%,0.06%,51.0122118592644,B
曜,51.38%,0.68%,0.04%,52.59218852142812,B
関羽,47.04%,0.57%,0.21%,44.464360947711654,D
ファーティフ,51.27%,0.58%,0.11%,52.236597428690835,B
元流の子（タンク）,49.28%,0.59%,0.08%,48.131208522735086,C
元流の子（メイジ）,51.68%,0.56%,0.05%,53.112888051768614,B
