name,win_rate,pick_rate,ban_rate,meta_score,tier
ミレディ,50.20%,1.88%,5.00%,56.389474085565844,A
大司命,48.51%,1.13%,5.92%,52.140741362115506,B
妲己,50.22%,2.85%,2.12%,55.35824258952535,A
后羿,52.55%,3.74%,0.32%,59.5779786398886,A
アンジェラ,50.97%,2.37%,2.86%,57.15230087833281,A
白龍,46.65%,1.18%,3.47%,47.49768020272373,C
Lapulapu,55.73%,2.19%,1.29%,69.19096437394728,S
東皇太一,48.97%,1.05%,3.38%,50.86249584738079,B
張良,50.36%,0.88%,3.09%,52.97550540809441,B
蔡文姫,52.26%,1.61%,1.37%,57.7458090969311,A
マルコ・ポーロ,47.23%,2.06%,0.40%,48.01872865859796,C
小喬,47.84%,2.03%,0.16%,48.742943580935254,C
瀾,48.99%,1.20%,1.72%,50.00538440575163,B
魯班7号,50.59%,1.96%,0.18%,53.73674778998269,B
王昭君,49.92%,1.86%,0.34%,52.291540834618964,B
孔明,50.04%,1.78%,0.48%,52.470854943542406,B
李信,51.92%,1.61%,0.62%,56.345206130665375,A
瑶,46.89%,1.23%,1.14%,46.219081810634506,C
墨子,48.99%,1.17%,1.23%,49.565564139676674,C
宮本武蔵,49.82%,1.56%,0.45%,51.50783593510963,B
蘭陵王,49.28%,0.55%,2.39%,49.77970597295602,C
孫尚香,46.41%,1.62%,0.06%,45.682908926193726,C
虞美人,50.73%,1.49%,0.14%,52.97561227487443,B
甄姫,51.89%,1.52%,0.07%,55.64308374501428,A
女媧,52.21%,1.20%,0.66%,56.07819235931564,A
少司縁,47.21%,1.10%,0.85%,46.167552313066395,C
ドリア,45.53%,1.38%,0.30%,44.098103167814074,D
阿軻,51.68%,0.71%,1.58%,54.460225403396805,B
伽羅,52.32%,1.30%,0.20%,56.254986712251295,A
カイザー,49.95%,1.35%,0.10%,50.98248952591688,B
ルアンナ,51.36%,1.31%,0.16%,53.94110368261882,B
夏侯惇,49.85%,1.29%,0.19%,50.70249503070209,B
エリン,50.21%,1.31%,0.13%,51.42940684347216,B
大喬,48.32%,1.03%,0.64%,47.62728396503294,C
太公望,51.03%,1.18%,0.30%,52.98324665719268,B
典韋,51.31%,1.13%,0.38%,53.553714690376154,B
ルナ,49.10%,0.69%,1.17%,48.739963413594936,C
アーサー,49.06%,1.21%,0.07%,48.9191605931747,C
ミーユエ,50.51%,0.81%,0.81%,51.445240276248455,B
公孫離,48.32%,0.77%,0.85%,47.26364611800159,C
荘子,49.79%,0.76%,0.85%,49.92337255418784,C
元流の子（マークスマン）,51.86%,1.12%,0.06%,54.5793172870841,B
仁傑,52.74%,1.13%,0.03%,56.79615510891084,A
呂布,48.13%,1.04%,0.09%,46.918884053716226,C
孫悟空,47.32%,0.99%,0.19%,45.593163485801725,C
バイロン,48.51%,1.04%,0.08%,47.55389162398731,C
鐘馗,48.18%,0.85%,0.44%,46.868543401640636,C
アレッシオ,52.34%,1.04%,0.04%,55.56539917016371,A
ガルダ,50.44%,0.99%,0.13%,51.14965496151331,B
貂蝉,48.91%,0.93%,0.12%,48.050384074028614,C
不知火舞,48.84%,0.82%,0.31%,47.851814198617994,C
ハイノ,48.27%,0.86%,0.20%,46.85854275895529,C
シャルロット,47.44%,0.89%,0.12%,45.51754929626676,C
孫策,48.43%,0.92%,0.04%,47.129326846976795,C
劉禅,48.88%,0.85%,0.16%,47.86740174333308,C
干将・莫耶,49.99%,0.69%,0.43%,49.886349704837876,C
李元芳,48.59%,0.86%,0.03%,47.278076696016186,C
影,49.69%,0.79%,0.17%,49.27180678157112,C
廉頗,50.10%,0.81%,0.10%,50.06728575226774,B
蒼,50.36%,0.82%,0.07%,50.59542666248701,B
李白,52.60%,0.71%,0.25%,55.74259492375602,A
百里守約,49.54%,0.75%,0.08%,48.84494807640794,C
張飛,49.28%,0.72%,0.12%,48.33372643181184,C
西施,49.29%,0.71%,0.14%,48.35073103299242,C
ナコルル,49.60%,0.68%,0.18%,48.91859006859587,C
ユンエイ,52.00%,0.66%,0.17%,54.091855034416675,B
棋星,50.74%,0.70%,0.08%,51.19620639651049,B
楊戩,52.33%,0.67%,0.13%,54.89708436367207,B
啓,52.30%,0.69%,0.08%,54.815839906759926,B
楊貴妃,49.58%,0.68%,0.08%,48.80519689699909,C
元流の子（タンク）,48.53%,0.66%,0.10%,46.87717941953967,C
白起,53.07%,0.63%,0.11%,56.75980000119381,A
黄忠,52.57%,0.62%,0.10%,55.411490226293154,A
項羽,50.36%,0.65%,0.03%,50.276453117721665,B
扁鵲,50.98%,0.60%,0.13%,51.60312398000568,B
曜,50.58%,0.60%,0.07%,50.693168192041284,B
韓信,50.90%,0.53%,0.16%,51.35344994851665,B
趙雲,50.53%,0.60%,0.02%,50.54996118022265,B
