name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.81%,1.20%,6.99%,55.317466084044376,A
蒼,46.83%,3.77%,1.35%,49.173378560712926,C
白龍,47.29%,1.24%,6.24%,50.47698530690749,B
瀾,50.01%,1.57%,4.44%,54.70716847619403,B
妲己,50.46%,3.24%,0.51%,54.82433856425838,B
后羿,52.96%,2.86%,0.11%,60.31692339027462,S
阿軻,53.10%,1.15%,3.33%,60.10369134406,S
アンジェラ,49.83%,2.27%,0.78%,53.03211738482749,B
典韋,54.16%,2.10%,0.73%,63.37958768296742,S
夏侯惇,53.01%,2.29%,0.19%,59.97907494019989,A
孫尚香,47.07%,2.14%,0.07%,47.555797444096385,C
マルコ・ポーロ,48.08%,2.07%,0.18%,49.10213137098567,C
ミレディ,49.08%,1.86%,0.40%,50.58321025420614,B
少司縁,49.06%,1.29%,1.52%,50.00942163036342,B
瑶,49.98%,1.57%,0.68%,51.827198446206516,B
李信,52.60%,1.74%,0.14%,57.81282333034717,A
大喬,49.53%,1.29%,0.89%,50.4130143373555,B
ルアンナ,53.94%,1.58%,0.19%,61.182468493791504,S
虞美人,51.95%,1.64%,0.07%,55.888320910347865,A
小喬,49.70%,1.65%,0.03%,50.985383577969934,B
孔明,48.96%,1.59%,0.08%,49.491215658079845,C
墨子,48.47%,1.37%,0.41%,48.329026140717026,C
蔡文姫,51.51%,1.35%,0.43%,54.39214143335754,B
啓,53.38%,1.43%,0.24%,59.23061577423553,A
張良,50.02%,1.23%,0.65%,51.04869690484041,B
魯班7号,51.62%,1.51%,0.07%,54.77735814337053,B
司馬懿,52.61%,1.23%,0.56%,56.905710186834206,A
蘭陵王,47.95%,0.65%,1.68%,46.99040662476807,C
ドリア,47.30%,1.38%,0.19%,46.29372051206065,C
貂蝉,52.64%,1.33%,0.12%,56.893312511808,A
東皇太一,48.24%,1.01%,0.61%,47.26952251195605,C
女媧,52.38%,1.08%,0.44%,55.888857267978416,A
不知火舞,47.90%,1.18%,0.20%,46.76717953251037,C
アーサー,49.04%,1.24%,0.03%,48.73643570018031,C
王昭君,50.43%,1.19%,0.04%,51.33712881209593,B
太公望,50.74%,1.18%,0.05%,51.979130723031034,B
エリン,51.42%,1.17%,0.07%,53.486786313189384,B
ミーユエ,51.92%,1.04%,0.25%,54.52169040404123,B
孫悟空,47.92%,1.12%,0.10%,46.59032587370677,C
公孫離,49.36%,1.00%,0.28%,48.98974389093397,C
伽羅,53.84%,1.10%,0.06%,59.6355205060995,A
ハイノ,49.66%,1.04%,0.14%,49.53721015749334,C
甄姫,52.10%,1.09%,0.01%,54.88712306490342,B
アレッシオ,53.34%,1.06%,0.07%,58.12575302496245,A
孫策,48.58%,1.05%,0.03%,47.49642502108417,C
呂布,48.84%,1.03%,0.03%,47.91223715516879,C
干将・莫耶,51.60%,0.96%,0.15%,53.52409514611802,B
棋星,52.97%,0.97%,0.11%,56.95947599411507,A
劉禅,48.96%,0.99%,0.07%,48.07681040307499,C
鐘馗,49.73%,0.96%,0.12%,49.498602556768546,C
廉頗,49.90%,0.93%,0.05%,49.72311165200554,C
仁傑,54.15%,0.93%,0.02%,60.18702979086314,S
宮本武蔵,46.94%,0.92%,0.06%,44.63880122665366,D
カイザー,49.37%,0.89%,0.04%,48.62043594712952,C
項羽,52.53%,0.87%,0.01%,55.54135014183643,A
韓信,51.26%,0.75%,0.16%,52.38566811230902,B
ルナ,49.65%,0.74%,0.13%,48.97453146158988,C
趙雲,50.71%,0.79%,0.02%,51.12896361835441,B
李元芳,46.99%,0.77%,0.04%,44.44235488492938,D
明世隠,51.52%,0.75%,0.06%,52.90822947529078,B
バイロン,48.54%,0.73%,0.03%,46.85566534245707,C
ナコルル,50.66%,0.72%,0.03%,50.922322889158146,B
漸離,53.06%,0.69%,0.03%,56.67439407723332,A
アグド,49.53%,0.66%,0.10%,48.60762938890641,C
張飛,50.16%,0.67%,0.05%,49.82455947517185,C
バタフライ,50.30%,0.63%,0.07%,50.07275403823305,B
曜,47.35%,0.65%,0.02%,44.79657929605689,D
荘子,47.54%,0.55%,0.21%,45.109018676899204,C
アレン,49.46%,0.64%,0.02%,48.38786343022189,C
シャルロット,44.76%,0.64%,0.03%,41.28966561233555,D
百里守約,47.95%,0.62%,0.05%,45.72873167097468,C
李白,50.19%,0.57%,0.03%,49.74268482485103,C
鐘無艶,53.22%,0.57%,0.02%,56.94924737164781,A
姫小満,48.29%,0.55%,0.02%,46.184505647822064,C
周瑜,52.09%,0.54%,0.02%,53.96549039173837,B
橘右京,48.99%,0.51%,0.03%,47.36930291746254,C
扁鵲,49.27%,0.47%,0.08%,47.8778462248315,C
ユンエイ,49.44%,0.46%,0.05%,48.16393196649086,C
ハロルド,45.34%,0.47%,0.04%,41.80597530526246,D
黄忠,51.02%,0.47%,0.01%,51.38099905887431,B
西施,52.11%,0.45%,0.05%,53.9413719409759,B
孔子,48.86%,0.45%,0.02%,47.06578395739618,C
アタ,50.04%,0.44%,0.02%,49.290915013179976,C
上官婉児,46.88%,0.45%,0.01%,43.85275540431427,D
劉邦,48.94%,0.40%,0.01%,47.15377893867806,C
ムーラン,48.87%,0.40%,0.01%,47.02829917947989,C
達磨,51.87%,0.37%,0.03%,53.26589612084827,B
孫臏,47.13%,0.37%,0.02%,44.15608499659114,D
劉備,50.55%,0.35%,0.02%,50.25941471628734,B
雲中君,52.18%,0.33%,0.05%,54.006147485197744,B
楊貴妃,46.45%,0.36%,0.01%,43.153125489280534,D
蒙牙,51.29%,0.34%,0.01%,51.866488630790634,B
鬼谷子,47.03%,0.33%,0.04%,43.987786380055304,D
ナタク,48.58%,0.34%,0.01%,46.46511127719428,C
モンキ,51.73%,0.29%,0.01%,52.84993746916992,B
楊戩,49.27%,0.27%,0.01%,47.649510896151305,C
鏡,44.48%,0.26%,0.03%,40.5810628223316,D
タイガー,48.89%,0.23%,0.01%,46.927509695834026,C
関羽,43.98%,0.18%,0.01%,39.94973285520193,E
百里玄策,45.86%,0.14%,0.01%,42.190798115498744,D
アテナ,48.51%,0.06%,0.00%,46.15024951607364,C
