name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.61%,2.41%,3.29%,58.98292199132051,A
ミレディ,49.72%,1.62%,4.40%,54.4790796066857,B
大司命,46.73%,1.18%,4.90%,48.74919173812402,C
アンジェラ,50.86%,2.13%,2.30%,56.2155574553693,A
張良,51.22%,0.81%,4.92%,56.120391963877935,A
后羿,49.99%,2.90%,0.25%,53.503747416029,B
Haya,49.16%,1.26%,3.23%,51.660722306626596,B
白龍,47.84%,1.43%,2.72%,49.42826888555235,C
李信,53.12%,1.82%,1.53%,60.635029721593625,S
墨子,49.66%,1.53%,1.98%,52.33491531874063,B
マルコ・ポーロ,48.45%,2.03%,0.41%,49.97930240742014,C
東皇太一,48.49%,0.73%,2.85%,49.02279089708091,C
蔡文姫,50.74%,1.31%,1.65%,53.74783992017405,B
ドリア,45.73%,1.82%,0.50%,45.58870690556204,C
王昭君,50.51%,1.81%,0.42%,53.50579569722016,B
小喬,48.83%,1.92%,0.15%,50.259562019592714,B
瑶,48.24%,1.13%,1.65%,48.54155006514616,C
Chicha,50.13%,1.57%,0.68%,52.38585961065678,B
ルアンナ,53.78%,1.75%,0.22%,61.37235353982958,S
エリン,51.30%,1.74%,0.18%,54.91036475604307,B
孫尚香,48.03%,1.78%,0.08%,48.56680068208058,C
少司縁,48.65%,1.22%,1.12%,49.06490755447722,C
虞美人,52.01%,1.64%,0.19%,56.372307972818355,A
カイザー,50.75%,1.54%,0.21%,53.25773439655769,B
魯班7号,50.88%,1.54%,0.13%,53.479813819429005,B
孔明,49.34%,1.45%,0.24%,50.225674775589766,B
アーサー,52.13%,1.49%,0.14%,56.27404872607938,A
伽羅,53.85%,1.38%,0.29%,60.75891311089831,S
瀾,48.38%,1.17%,0.57%,48.064503942262235,C
孫悟空,50.02%,1.30%,0.27%,51.191773409023,B
夏侯惇,51.41%,1.29%,0.24%,54.13277551531606,B
女媧,52.39%,1.16%,0.46%,56.34849503767468,A
宮本武蔵,50.67%,1.19%,0.21%,52.220340467972285,B
甄姫,51.13%,1.18%,0.08%,53.105155536563615,B
元流の子（マークスマン）,52.05%,1.17%,0.06%,55.22368115072111,A
大喬,48.78%,0.90%,0.51%,48.100234049610314,C
扁鵲,51.06%,1.02%,0.23%,52.684182408805384,B
鐘馗,49.94%,0.94%,0.39%,50.271912388687355,B
蘭陵王,49.28%,0.69%,0.89%,48.897542795364025,C
阿軻,51.62%,0.65%,0.89%,53.73829466165798,B
公孫離,46.24%,0.87%,0.47%,44.037888821444376,D
荘子,49.13%,0.63%,0.92%,48.545367266063224,C
ユンエイ,52.73%,1.01%,0.14%,56.6357050352049,A
Yango,46.62%,0.84%,0.45%,44.494914871564596,D
ミーユエ,50.00%,0.72%,0.67%,50.173320908078736,B
呂布,47.15%,0.96%,0.11%,45.26496478297465,C
百里守約,51.16%,0.95%,0.10%,52.65545390274568,B
李元芳,51.18%,0.98%,0.04%,52.72081760784915,B
アレッシオ,51.69%,0.98%,0.04%,53.89833815898168,B
典韋,51.77%,0.87%,0.24%,54.00596402314114,B
太公望,50.97%,0.91%,0.12%,52.16279415251388,B
バイロン,48.70%,0.92%,0.10%,47.69348450537955,C
仁傑,51.47%,0.94%,0.02%,53.28113236820576,B
廉頗,50.51%,0.90%,0.09%,51.12872454522184,B
不知火舞,47.67%,0.85%,0.19%,45.89884531982705,C
ハイノ,48.10%,0.84%,0.19%,46.5751917924662,C
貂蝉,47.55%,0.88%,0.11%,45.710233262027565,C
ガルダ,51.46%,0.89%,0.04%,53.168041721784725,B
孫策,49.82%,0.84%,0.03%,49.55922976076497,C
劉禅,48.64%,0.80%,0.11%,47.35563210073494,C
張飛,49.53%,0.76%,0.18%,48.95877992879479,C
趙雲,52.21%,0.77%,0.05%,54.744279508467564,B
ルナ,48.12%,0.56%,0.45%,46.326449983466006,C
項羽,49.82%,0.76%,0.04%,49.41525262415339,C
蒼,50.39%,0.74%,0.07%,50.5539540898176,B
棋星,51.39%,0.74%,0.04%,52.71852641688655,B
元流の子（タンク）,49.08%,0.71%,0.08%,47.95559971752251,C
西施,49.72%,0.60%,0.24%,49.10338097605515,C
シャルロット,47.90%,0.68%,0.05%,45.85186243534827,C
バタフライ,50.98%,0.63%,0.07%,51.633581055570325,B
元流の子（メイジ）,51.64%,0.63%,0.06%,53.13111165525462,B
アタ,53.86%,0.63%,0.04%,58.97351876969504,A
李白,51.77%,0.56%,0.15%,53.40177770135518,B
影,50.62%,0.60%,0.06%,50.79986053459088,B
干将・莫耶,49.03%,0.52%,0.22%,47.67681500636761,C
韓信,53.16%,0.50%,0.19%,56.90892592468426,A
ナコルル,50.40%,0.56%,0.05%,50.270371322660154,B
Lapulapu,55.27%,0.55%,0.04%,63.30924964596045,S
明世隠,51.64%,0.55%,0.04%,52.99667296284251,B
啓,52.88%,0.55%,0.03%,56.10003274345576,A
孔子,52.62%,0.47%,0.13%,55.38290042375328,A
関羽,47.51%,0.46%,0.16%,44.993843382897445,D
周瑜,50.91%,0.52%,0.02%,51.28107498887146,B
アグド,52.00%,0.51%,0.04%,53.80522162993898,B
ファーティフ,51.18%,0.49%,0.06%,51.87053908384718,B
曜,50.94%,0.49%,0.04%,51.3218517748438,B
楊貴妃,50.04%,0.50%,0.02%,49.42898102571025,C
ハロルド,50.03%,0.46%,0.07%,49.39483400527099,C
蒙牙,53.77%,0.47%,0.01%,58.460455762590186,A
ムーラン,50.78%,0.45%,0.04%,50.922248462572185,B
黄忠,51.29%,0.46%,0.02%,52.051046398518075,B
橘右京,50.63%,0.45%,0.02%,50.585332073796636,B
白起,52.08%,0.43%,0.05%,53.907187455871046,B
ナタク,51.15%,0.42%,0.07%,51.723467597848725,B
姫小満,47.43%,0.43%,0.06%,44.75778834020268,D
鐘無艶,51.31%,0.43%,0.03%,52.067279691133514,B
漸離,48.93%,0.42%,0.04%,47.23401230621607,C
タイガー,52.63%,0.35%,0.15%,55.283787585520514,A
劉備,54.46%,0.40%,0.04%,60.48119174494174,S
アレン,49.55%,0.42%,0.02%,48.36844848307195,C
上官婉児,48.77%,0.39%,0.04%,46.91402165305412,C
孫臏,49.28%,0.37%,0.03%,47.80953950853515,C
楊戩,51.50%,0.36%,0.03%,52.42469070158795,B
鬼谷子,50.65%,0.24%,0.25%,50.577471903388435,B
モンキ,51.54%,0.34%,0.02%,52.48897988025039,B
鏡,45.01%,0.25%,0.08%,41.258603816995375,D
達磨,51.54%,0.25%,0.02%,52.400671677788374,B
司馬懿,46.44%,0.25%,0.03%,43.08780634692463,D
劉邦,49.60%,0.24%,0.01%,48.27008019875106,C
雲中君,51.76%,0.23%,0.01%,52.894133950295085,B
百里玄策,52.03%,0.21%,0.03%,53.54440989287599,B
アテナ,53.70%,0.08%,0.00%,57.8749217941501,A
