name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.44%,2.31%,3.79%,58.8601243583395,A
ミレディ,49.97%,1.59%,4.96%,55.32146204245314,A
大司命,46.88%,1.13%,4.83%,48.79382096297095,C
アンジェラ,50.85%,2.17%,2.58%,56.4588868991669,A
張良,51.30%,0.78%,5.09%,56.37284666391423,A
后羿,50.37%,2.99%,0.24%,54.30364652220975,B
白龍,48.02%,1.43%,3.05%,49.96845991083937,C
Haya,49.89%,1.21%,3.06%,52.80217732316319,B
李信,53.02%,1.79%,1.33%,60.152336636511,S
孫尚香,48.45%,2.35%,0.19%,50.23334395038835,B
蔡文姫,51.11%,1.22%,1.96%,54.568487457805695,B
東皇太一,47.85%,0.73%,2.85%,47.95666572744334,C
墨子,49.57%,1.41%,1.44%,51.46211660324226,B
小喬,49.05%,2.03%,0.16%,50.85095754711249,B
Chicha,50.26%,1.78%,0.57%,53.03730698529626,B
王昭君,50.53%,1.81%,0.41%,53.540430733943204,B
ドリア,46.02%,1.75%,0.47%,45.80583523555384,C
マルコ・ポーロ,49.05%,1.79%,0.33%,50.53857079168598,B
ルアンナ,53.70%,1.69%,0.19%,60.987111609129414,S
瑶,48.01%,1.11%,1.36%,47.89501891587056,C
少司縁,48.70%,1.21%,1.07%,49.09038036606705,C
エリン,51.61%,1.64%,0.17%,55.398511912629246,A
アーサー,51.86%,1.62%,0.15%,55.93225747821335,A
虞美人,52.32%,1.59%,0.18%,57.01876670895228,A
魯班7号,51.02%,1.59%,0.14%,53.914041566944356,B
孔明,49.57%,1.54%,0.23%,50.87327918020567,B
カイザー,50.90%,1.49%,0.14%,53.409841375311565,B
伽羅,54.19%,1.36%,0.28%,61.71798257691762,S
孫悟空,50.59%,1.33%,0.25%,52.42718836860245,B
公孫離,46.04%,1.21%,0.43%,44.50860566640355,D
夏侯惇,51.16%,1.24%,0.23%,53.43241272951825,B
女媧,52.26%,1.10%,0.49%,55.89935806922026,A
ミーユエ,49.56%,0.91%,0.87%,49.827165829554616,C
瀾,48.27%,1.08%,0.51%,47.618581179698914,C
阿軻,51.03%,0.88%,0.89%,52.81097067871035,B
宮本武蔵,51.17%,1.16%,0.20%,53.23631289980869,B
元流の子（マークスマン）,52.28%,1.17%,0.06%,55.79488636010446,A
甄姫,50.98%,1.15%,0.09%,52.706510360881346,B
呂布,47.44%,1.10%,0.12%,46.03318413950149,C
鐘馗,50.18%,0.94%,0.36%,50.73231263540453,B
