name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.29%,2.20%,4.41%,58.85026342495757,A
白龍,48.59%,1.39%,5.33%,52.54136053723724,B
アンジェラ,51.57%,2.25%,2.90%,58.42599673033481,A
大司命,46.99%,1.28%,4.67%,49.203411745411,C
張良,51.05%,0.78%,4.81%,55.6004912045359,A
ミレディ,48.99%,2.00%,1.96%,52.04315425700084,B
后羿,49.03%,2.78%,0.19%,51.57562085570627,B
李信,52.30%,1.88%,1.35%,58.465718530953495,A
魯班7号,53.09%,2.34%,0.34%,60.44837951858503,S
溟月,50.59%,0.93%,2.99%,53.535736937484955,B
王昭君,51.44%,2.00%,0.65%,56.07967576978182,A
夏侯惇,53.42%,2.01%,0.62%,61.13122697924155,S
東皇太一,47.89%,0.78%,3.03%,48.24676033504732,C
マルコ・ポーロ,49.79%,2.08%,0.30%,52.430717768809515,B
蔡文姫,50.62%,1.28%,1.85%,53.56610318503751,B
孫悟空,49.30%,1.92%,0.41%,51.31073455444345,B
ドリア,46.24%,1.78%,0.50%,46.19003467667345,C
小喬,48.52%,1.86%,0.16%,49.61164725034776,C
孫尚香,47.77%,1.85%,0.09%,48.29344803041042,C
墨子,49.74%,1.26%,1.07%,51.1387989768991,B
チーシャ,50.72%,1.56%,0.38%,53.368500943732634,B
瑶,48.48%,1.12%,1.21%,48.595069896261684,C
ルアンナ,52.47%,1.55%,0.19%,57.31260464725765,A
虞美人,51.86%,1.54%,0.18%,55.76599658641764,A
少司縁,48.62%,1.11%,1.03%,48.67849488412801,C
カイザー,51.16%,1.54%,0.15%,54.11496882153014,B
エリン,51.58%,1.50%,0.16%,54.98908289870375,B
孔明,49.81%,1.43%,0.22%,51.06215009293887,B
アーサー,50.09%,1.42%,0.14%,51.53455826340763,B
伽羅,52.68%,1.21%,0.23%,57.045414547954536,A
呂布,48.38%,1.18%,0.14%,47.76634096839655,C
鐘馗,49.56%,1.01%,0.46%,49.736779288171064,C
瀾,48.54%,0.99%,0.47%,47.84369641888194,C
宮本武蔵,50.82%,1.12%,0.18%,52.3519204780302,B
大喬,49.04%,0.96%,0.49%,48.678960017961124,C
荘子,50.11%,0.66%,1.02%,50.555974524581956,B
張飛,49.58%,1.00%,0.33%,49.65519388118004,C
典韋,50.63%,1.00%,0.29%,51.74833505435647,B
ミーユエ,49.83%,0.76%,0.72%,49.94490566968556,C
甄姫,51.01%,1.06%,0.05%,52.5298203474498,B
元流の子（マークスマン）,51.58%,1.01%,0.06%,53.72102403286351,B
ハイノ,47.93%,0.92%,0.23%,46.489468886719735,C
李元芳,50.39%,1.00%,0.04%,51.055707942733505,B
女媧,51.47%,0.83%,0.38%,53.32600524452886,B
阿軻,51.86%,0.60%,0.79%,54.1565588475828,B
廉頗,50.96%,0.89%,0.10%,52.084299240648384,B
公孫離,46.69%,0.78%,0.33%,44.3903823782332,D
ユンエイ,53.06%,0.88%,0.10%,57.20828862814807,A
蘭陵王,49.18%,0.57%,0.72%,48.396551561235036,C
太公望,50.92%,0.86%,0.10%,51.935515163064075,B
アレッシオ,51.22%,0.88%,0.04%,52.598724532796574,B
劉禅,49.42%,0.84%,0.11%,48.84900806233493,C
百里守約,51.38%,0.82%,0.09%,52.88153683668385,B
不知火舞,48.84%,0.79%,0.16%,47.72693994500464,C
シャルロット,49.88%,0.83%,0.07%,49.68786024117037,C
カルラ,51.05%,0.84%,0.04%,52.137721320713055,B
バイロン,47.64%,0.82%,0.09%,45.717639309856324,C
貂蝉,48.02%,0.80%,0.10%,46.29867651371717,C
孫策,48.56%,0.83%,0.03%,47.214180945115864,C
項羽,50.57%,0.81%,0.05%,51.04592613618158,B
アレン,50.63%,0.80%,0.07%,51.16931623558666,B
李白,51.67%,0.74%,0.17%,53.468629722981674,B
仁傑,50.90%,0.77%,0.02%,51.658796571290466,B
元流の子（タンク）,48.10%,0.70%,0.12%,46.26554733198296,C
ルナ,48.33%,0.59%,0.32%,46.624582833254735,C
影,50.49%,0.71%,0.07%,50.71040374142127,B
棋星,51.73%,0.71%,0.04%,53.46081882830134,B
上官婉児,48.10%,0.69%,0.08%,46.218607558007164,C
ナコルル,50.90%,0.68%,0.07%,51.538663190048744,B
西施,50.42%,0.58%,0.26%,50.49864664807637,B
扁鵲,49.93%,0.63%,0.11%,49.46481421206488,C
蒼,50.76%,0.65%,0.07%,51.18534131838368,B
アタ,53.23%,0.64%,0.05%,57.200418700521176,A
趙雲,52.89%,0.62%,0.02%,56.2230650854781,A
バタフライ,52.20%,0.58%,0.07%,54.41979168480872,B
姫小満,48.46%,0.56%,0.09%,46.62959625904155,C
曜,51.20%,0.56%,0.04%,51.996592870399915,B
