name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,50.25%,1.20%,6.93%,56.27313464137365,A
瀾,48.47%,2.34%,4.19%,53.224545020901736,B
ミレディ,51.07%,2.00%,4.53%,58.070665479302896,A
妲己,52.29%,2.72%,2.48%,60.26321840548562,S
白龍,46.78%,1.20%,4.98%,48.798296037483134,C
后羿,53.84%,3.42%,0.36%,63.1427660137488,S
アンジェラ,50.61%,2.44%,1.19%,55.17904688831493,A
マルコ・ポーロ,46.86%,2.44%,0.37%,47.91644916775953,C
元流の子（マークスマン）,53.26%,2.32%,0.39%,60.89642856593959,S
虞美人,52.68%,2.28%,0.22%,59.15781006574741,A
ファーティフ,56.14%,1.68%,1.28%,69.66227871469819,S
李信,51.78%,1.96%,0.65%,56.72466321959643,A
墨子,49.18%,1.34%,1.51%,50.46948126435146,B
元流の子（メイジ）,45.63%,1.88%,0.42%,45.418539496047664,C
孔明,48.46%,1.79%,0.29%,49.35755419069319,C
阿軻,53.32%,0.87%,1.99%,59.224396565730835,A
蘭陵王,48.86%,0.71%,2.31%,49.15760645250588,C
小喬,50.55%,1.74%,0.15%,53.12707785124731,B
瑶,47.83%,1.24%,1.08%,47.57420856697645,C
宮本武蔵,50.02%,1.61%,0.32%,51.860152258454235,B
張良,51.47%,0.95%,1.59%,54.37293728918069,B
孫尚香,46.23%,1.70%,0.07%,45.563345507060944,C
蔡文姫,52.23%,1.24%,0.76%,56.232020655596095,A
ルナ,50.55%,1.10%,1.03%,52.23957691932215,B
鐘馗,50.31%,1.27%,0.62%,51.833424300046055,B
魯班7号,49.73%,1.47%,0.15%,50.81577705679309,B
アレッシオ,52.37%,1.48%,0.05%,56.64728487346154,A
東皇太一,49.12%,0.86%,1.22%,49.06832195026854,C
女媧,53.80%,1.17%,0.53%,60.14136323481457,S
典韋,52.17%,1.14%,0.53%,55.67241106095714,A
夏侯惇,51.03%,1.25%,0.20%,53.00972760086939,B
不知火舞,48.12%,1.16%,0.37%,47.324466466272824,C
太公望,52.42%,1.24%,0.19%,56.283993037200325,A
元流の子（タンク）,48.32%,1.02%,0.51%,47.449143325345815,C
ナコルル,52.00%,1.08%,0.33%,54.96675397427944,B
エリン,49.80%,1.18%,0.10%,50.20075724265724,B
公孫離,46.09%,0.81%,0.84%,43.90486730382434,D
大喬,49.24%,0.94%,0.57%,48.956984367237965,C
孫策,49.87%,1.17%,0.07%,50.292354146535835,B
ミーユエ,51.53%,0.93%,0.47%,53.63213990186495,B
ドリア,45.20%,1.06%,0.15%,42.73487943055209,D
伽羅,53.09%,1.06%,0.10%,57.56295900449773,A
王昭君,52.51%,1.06%,0.08%,56.01291328105317,A
孫悟空,45.85%,0.98%,0.25%,43.469306673412625,D
廉頗,50.94%,1.00%,0.13%,52.18564664329462,B
ユンエイ,52.79%,0.90%,0.27%,56.55281035221447,A
少司縁,48.73%,0.77%,0.54%,47.697703677868674,C
ハイノ,48.76%,0.93%,0.21%,47.7982371406652,C
カイザー,50.02%,1.00%,0.05%,50.19449175163116,B
劉禅,49.44%,0.91%,0.23%,49.016923198421644,C
バイロン,48.52%,0.98%,0.08%,47.38362335815388,C
アーサー,49.43%,0.98%,0.06%,49.01188244664343,C
ルアンナ,49.81%,0.96%,0.08%,49.717319233656575,C
呂布,48.24%,0.94%,0.08%,46.8255199027918,C
干将・莫耶,50.26%,0.77%,0.28%,50.414849195394375,B
棋星,52.24%,0.82%,0.10%,54.8614721931026,B
荘子,51.36%,0.62%,0.46%,52.704350478459844,B
啓,53.80%,0.79%,0.11%,59.040455027803596,A
曜,49.78%,0.81%,0.06%,49.357068884062755,C
甄姫,52.42%,0.81%,0.03%,55.24564803936246,A
李元芳,48.51%,0.78%,0.05%,46.9639329159471,C
仁傑,52.36%,0.77%,0.03%,55.024016429263135,A
張飛,49.82%,0.67%,0.23%,49.334113536950014,C
司馬懿,51.11%,0.61%,0.25%,51.967136077899,B
楊貴妃,49.33%,0.68%,0.09%,48.304899556318155,C
白起,51.90%,0.64%,0.15%,53.77171288944579,B
貂蝉,45.98%,0.67%,0.09%,42.96550780359093,D
ハロルド,47.89%,0.58%,0.26%,45.78140230360141,C
鐘無艶,53.33%,0.67%,0.05%,57.45883885918007,A
孔子,51.91%,0.65%,0.10%,53.772945291668265,B
アレン,48.89%,0.67%,0.04%,47.447167868364616,C
達磨,51.01%,0.64%,0.08%,51.659753771569235,B
蒼,48.27%,0.64%,0.06%,46.34197323319324,C
趙雲,51.14%,0.64%,0.03%,51.91176343398383,B
シャルロット,46.18%,0.62%,0.04%,43.12561367067041,D
百里守約,47.03%,0.61%,0.05%,44.33011818804864,D
扁鵲,51.65%,0.51%,0.14%,52.994864835514825,B
項羽,50.87%,0.57%,0.02%,51.21061458011209,B
漸離,50.56%,0.53%,0.06%,50.52347384958642,B
アグド,49.54%,0.52%,0.04%,48.445013048723474,C
橘右京,48.76%,0.51%,0.07%,47.02209927894203,C
周瑜,51.73%,0.51%,0.04%,53.10932456296766,B
姫小満,46.45%,0.51%,0.04%,43.35547132545847,D
李白,48.46%,0.49%,0.05%,46.46111999021385,C
明世隠,50.67%,0.48%,0.05%,50.68993486775378,B
黄忠,52.25%,0.46%,0.06%,54.335178449185925,B
韓信,50.71%,0.43%,0.09%,50.749893471508194,B
バタフライ,48.40%,0.44%,0.06%,46.30946555264528,C
モンキ,52.79%,0.39%,0.08%,55.6652393086429,A
孫臏,50.53%,0.40%,0.04%,50.29786655855329,B
上官婉児,44.50%,0.41%,0.03%,40.751108648563964,D
西施,50.94%,0.36%,0.04%,51.14067312356295,B
劉備,50.63%,0.35%,0.03%,50.452948032726624,B
ムーラン,46.52%,0.36%,0.02%,43.27645572950717,D
タイガー,47.91%,0.32%,0.05%,45.36750563256885,C
アタ,50.03%,0.33%,0.02%,49.18631433731573,C
蒙牙,49.15%,0.33%,0.01%,47.48896993527733,C
雲中君,51.58%,0.27%,0.08%,52.54194372016665,B
楊戩,48.22%,0.27%,0.02%,45.81246829578863,C
劉邦,48.54%,0.26%,0.02%,46.34849314134146,C
鏡,43.02%,0.20%,0.09%,39.02251239206181,E
鬼谷子,49.79%,0.20%,0.04%,48.61780231881011,C
ナタク,48.66%,0.21%,0.01%,46.51022239026939,C
関羽,43.56%,0.15%,0.02%,39.48651895266509,E
百里玄策,47.30%,0.12%,0.02%,44.23037840850131,D
アテナ,50.39%,0.05%,0.01%,49.70791211036732,C
