name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.42%,3.50%,2.42%,58.32217525476343,A
李信,53.32%,2.50%,3.17%,63.357386004106374,S
白龍,48.92%,1.71%,4.03%,52.976297443345096,B
大司命,49.38%,1.65%,4.03%,53.691815205020546,B
アンジェラ,51.60%,2.73%,1.47%,57.82085925077531,A
后羿,49.92%,2.94%,0.18%,53.31217830668816,B
ミレディ,47.65%,1.74%,1.94%,49.3302422651317,C
墨子,50.46%,1.84%,1.57%,54.379928487989964,B
張良,50.00%,0.78%,3.67%,52.58706438074123,B
蔡文姫,51.39%,1.23%,2.56%,55.7603961430826,A
魯班7号,51.72%,2.07%,0.38%,56.681324854386375,A
王昭君,51.13%,1.87%,0.75%,55.27161765823135,A
溟月,48.46%,1.06%,2.15%,49.20097617799142,C
ドリア,46.84%,1.73%,0.65%,47.111824451879926,C
ルアンナ,49.62%,1.86%,0.25%,51.73991363097632,B
エリン,51.47%,1.84%,0.22%,55.59301952944832,A
瀾,47.82%,1.42%,1.06%,48.20852198773986,C
東皇太一,48.19%,0.72%,2.41%,48.21758382351782,C
マルコ・ポーロ,49.42%,1.72%,0.29%,51.112773778059754,B
夏侯惇,52.61%,1.55%,0.53%,58.00599322797144,A
瑶,50.44%,1.03%,1.57%,52.44962080805803,B
フロレンティーノ,52.16%,0.65%,2.14%,56.02498890046482,A
小喬,48.29%,1.58%,0.26%,48.76508492794274,C
チーシャ,51.34%,1.46%,0.38%,54.58173013947171,B
伽羅,53.62%,1.40%,0.36%,60.27567063468213,S
虞美人,51.29%,1.48%,0.19%,54.37364221437467,B
孫尚香,48.62%,1.54%,0.07%,49.094935444032636,C
少司縁,48.82%,0.98%,1.13%,48.87874029448021,C
孫悟空,48.94%,1.26%,0.54%,49.32622825365418,C
カイザー,50.59%,1.37%,0.13%,52.52033187137536,B
ミーユエ,50.42%,0.86%,1.08%,51.66357417316059,B
孔明,49.38%,1.21%,0.36%,49.875839766673394,C
デーヴァラ,49.73%,1.19%,0.34%,50.480839391090136,B
女媧,53.81%,1.00%,0.62%,60.04294400853349,S
アーサー,49.19%,1.27%,0.09%,49.46908917865076,C
荘子,47.92%,0.61%,1.25%,46.71327128365503,C
廉頗,52.35%,1.14%,0.15%,56.046343377562735,A
典韋,50.25%,0.93%,0.55%,51.06440435220765,B
呂布,48.87%,1.04%,0.27%,48.4613925863938,C
元流の子（マークスマン）,52.03%,1.10%,0.05%,55.077566789208326,A
鐘馗,49.83%,0.87%,0.49%,50.046983150657404,B
大喬,48.89%,0.85%,0.45%,48.21120472762886,C
宮本武蔵,49.26%,0.89%,0.30%,48.85739443038179,C
百里守約,49.76%,0.94%,0.10%,49.768365483550866,C
張飛,49.23%,0.80%,0.38%,48.676570454667484,C
蘭陵王,48.47%,0.45%,1.06%,47.25443474072021,C
甄姫,50.54%,0.93%,0.03%,51.27779398482067,B
阿軻,51.13%,0.49%,0.90%,52.418681866574886,B
アレッシオ,51.52%,0.91%,0.03%,53.40766943120117,B
趙雲,53.40%,0.89%,0.04%,58.18791236482792,A
ロリアン,50.44%,0.57%,0.67%,50.870540868046675,B
劉禅,50.04%,0.85%,0.09%,50.12258996259508,B
李元芳,48.61%,0.87%,0.03%,47.44367002712424,C
影,50.70%,0.83%,0.06%,51.42910175208956,B
バイロン,47.42%,0.76%,0.16%,45.36799382102923,C
仁傑,51.68%,0.82%,0.02%,53.58743733466669,B
カルラ,50.78%,0.81%,0.04%,51.54610283654125,B
孫策,48.33%,0.80%,0.03%,46.82026560928135,C
ハイノ,47.28%,0.74%,0.14%,45.10044249972628,C
蒼,50.20%,0.76%,0.06%,50.24511597942579,B
公孫離,47.33%,0.65%,0.25%,45.09890274975887,C
西施,51.92%,0.61%,0.29%,53.98254088871426,B
シャルロット,49.60%,0.73%,0.06%,49.00056139824174,C
ユンエイ,53.41%,0.72%,0.06%,57.8934414668454,A
不知火舞,48.28%,0.67%,0.16%,46.59183432823007,C
項羽,50.36%,0.72%,0.04%,50.4844935794205,B
太公望,49.84%,0.70%,0.07%,49.42020017499988,C
李白,51.94%,0.55%,0.30%,53.94484802612257,B
貂蝉,48.36%,0.65%,0.07%,46.62528175805553,C
ハロルド,55.32%,0.53%,0.24%,63.634881863873815,S
ルナ,46.45%,0.53%,0.22%,43.596679260709635,D
元流の子（タンク）,48.72%,0.60%,0.06%,47.157601252432066,C
棋星,51.31%,0.61%,0.02%,52.345986175656066,B
扁鵲,50.45%,0.53%,0.17%,50.45626759471253,B
アタ,53.65%,0.58%,0.04%,58.324195767904484,A
バタフライ,50.59%,0.56%,0.08%,50.72856766952258,B
司馬懿,52.58%,0.53%,0.10%,55.36998676902294,A
アレン,50.51%,0.53%,0.03%,50.47716826220226,B
ナコルル,49.43%,0.48%,0.05%,48.266598289202996,C
啓,53.75%,0.48%,0.02%,58.452045194236554,A
ファーティフ,50.77%,0.45%,0.09%,50.96518183234434,B
鐘無艶,51.56%,0.47%,0.04%,52.73009904562702,B
アネット,49.51%,0.43%,0.12%,48.404453302808044,C
アグド,52.26%,0.46%,0.04%,54.41162976894121,B
蒙牙,53.33%,0.47%,0.01%,57.23402095322571,A
干将・莫耶,50.96%,0.42%,0.08%,51.33327626692048,B
明世隠,50.90%,0.44%,0.02%,51.18223110118806,B
元流の子（メイジ）,51.63%,0.43%,0.04%,52.8415645026073,B
楊貴妃,50.71%,0.44%,0.01%,50.762869944451,B
黄忠,50.53%,0.43%,0.01%,50.36692361122507,B
関羽,47.79%,0.39%,0.10%,45.33028321073021,C
漸離,51.67%,0.41%,0.04%,52.91062236654992,B
周瑜,51.34%,0.42%,0.01%,52.13345137993384,B
ナタク,52.49%,0.40%,0.04%,54.91799635213473,B
ラプール,55.11%,0.39%,0.02%,62.57509598620726,S
楊戩,50.64%,0.39%,0.04%,50.57279758015641,B
孔子,52.15%,0.38%,0.05%,54.043655435760996,B
曜,50.51%,0.39%,0.02%,50.28240747059038,B
姫小満,47.58%,0.37%,0.05%,44.93568157819131,D
ムーラン,51.03%,0.37%,0.03%,51.389386208674864,B
上官婉児,48.22%,0.36%,0.04%,45.95421829878383,C
白起,51.43%,0.35%,0.04%,52.27844753897068,B
橘右京,48.68%,0.36%,0.02%,46.72718973059593,C
鏡,47.33%,0.30%,0.13%,44.52971878929766,D
鬼谷子,53.33%,0.21%,0.24%,57.112541827530855,A
元歌,49.74%,0.31%,0.05%,48.6536499251348,C
孫臏,49.48%,0.32%,0.02%,48.1418787671775,C
タイガー,52.68%,0.27%,0.06%,55.27958756997511,A
百里玄策,53.67%,0.27%,0.05%,57.993103151979945,A
劉邦,51.31%,0.28%,0.01%,51.90471286340381,B
劉備,50.33%,0.27%,0.03%,49.7811555545025,C
韓信,49.46%,0.25%,0.04%,48.04632924511906,C
達磨,51.54%,0.23%,0.02%,52.39315954155263,B
モンキ,53.05%,0.22%,0.01%,56.17889478933632,A
雲中君,50.43%,0.19%,0.01%,49.89769404717423,C
アテナ,53.37%,0.06%,0.00%,56.92155206712073,A
