name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.24%,2.79%,3.46%,58.526685352477045,A
Chicha,51.42%,2.10%,4.54%,59.087961284679096,A
ミレディ,48.74%,1.68%,4.78%,53.04690545648888,B
大司命,47.34%,1.09%,5.86%,50.120339984477724,B
アンジェラ,51.09%,2.45%,2.25%,57.043685184877006,A
白龍,46.09%,1.34%,3.51%,47.16509370658123,C
后羿,49.25%,2.86%,0.22%,52.045162648426434,B
張良,50.98%,0.92%,3.58%,54.76669100153078,B
李信,53.22%,2.02%,0.92%,60.791611859415084,S
マルコ・ポーロ,51.04%,2.20%,0.47%,55.318275085206075,A
孫尚香,48.83%,2.20%,0.11%,50.647969850162646,B
小喬,48.75%,2.14%,0.15%,50.453044973591176,B
東皇太一,48.70%,0.82%,2.79%,49.479140058686355,C
虞美人,52.95%,2.07%,0.21%,59.60507641580227,A
王昭君,50.29%,1.97%,0.30%,53.23146814640577,B
蔡文姫,51.02%,1.38%,1.33%,54.250145367556364,B
瑶,47.43%,1.37%,1.18%,47.43234364455822,C
エリン,51.96%,1.83%,0.20%,56.6327499111999,A
墨子,50.06%,1.29%,1.23%,51.923172317892956,B
孔明,49.17%,1.71%,0.35%,50.56646017391704,B
ドリア,45.52%,1.55%,0.43%,44.62525326837129,D
魯班7号,50.55%,1.64%,0.14%,52.97372332333116,B
伽羅,54.35%,1.48%,0.26%,62.44793481804347,S
少司縁,47.99%,1.12%,0.92%,47.515000391852226,C
孫悟空,50.29%,1.37%,0.25%,51.85597125875185,B
瀾,49.93%,1.04%,0.84%,50.77258127628073,B
甄姫,52.04%,1.33%,0.08%,55.56597435239882,A
カイザー,50.96%,1.28%,0.11%,52.9531470367847,B
女媧,52.03%,1.07%,0.51%,55.23432416647954,A
阿軻,52.96%,0.67%,1.29%,57.42019116652934,A
ミーユエ,49.60%,0.86%,0.81%,49.724928883638476,C
呂布,49.56%,1.21%,0.10%,49.89705251459139,C
夏侯惇,49.84%,1.15%,0.17%,50.348005728236,B
大喬,48.28%,0.93%,0.61%,47.34026449363736,C
宮本武蔵,50.70%,1.11%,0.21%,52.05089951427084,B
ルアンナ,51.05%,1.16%,0.09%,52.84361394982212,B
ルナ,48.62%,0.67%,0.92%,47.67526186480424,C
荘子,49.99%,0.70%,0.83%,50.2146347194315,B
公孫離,48.14%,0.79%,0.66%,46.869480308029,C
鐘馗,49.19%,0.89%,0.45%,48.74261246781421,C
典韋,51.67%,0.97%,0.26%,53.95792863690572,B
アーサー,49.43%,1.07%,0.07%,49.29475618886001,C
百里守約,52.07%,1.02%,0.11%,54.91942214373683,B
西施,49.48%,0.88%,0.40%,49.22777002561752,C
元流の子（マークスマン）,52.24%,1.04%,0.05%,55.34101280618328,A
蘭陵王,49.30%,0.52%,1.09%,48.81012109031431,C
劉禅,50.09%,0.97%,0.17%,50.43615576621585,B
太公望,50.82%,0.96%,0.15%,51.92804651606094,B
廉頗,51.22%,0.94%,0.09%,52.726678918596704,B
アレッシオ,51.80%,0.96%,0.03%,54.073277581906154,B
干将・莫耶,53.07%,0.75%,0.43%,57.20668544792102,A
棋星,51.74%,0.89%,0.07%,53.814849955329315,B
蒼,52.13%,0.87%,0.08%,54.729019025556426,B
孫策,49.73%,0.89%,0.03%,49.450963469408784,C
ガルダ,50.77%,0.85%,0.05%,51.52047794293931,B
バイロン,48.83%,0.82%,0.07%,47.66893530354335,C
仁傑,51.61%,0.83%,0.02%,53.35238027899204,B
貂蝉,48.12%,0.80%,0.09%,46.42718844043486,C
不知火舞,48.54%,0.73%,0.23%,47.11834692502478,C
李元芳,49.41%,0.82%,0.03%,48.70136682341711,C
ハイノ,46.95%,0.75%,0.15%,44.552333574313955,D
張飛,49.19%,0.76%,0.12%,48.24886415265377,C
アタ,53.46%,0.77%,0.06%,58.045858115072775,A
ユンエイ,53.00%,0.73%,0.11%,56.742369012851995,A
Lapulapu,54.71%,0.69%,0.17%,61.75505327254664,S
影,51.22%,0.71%,0.10%,52.298870395630196,B
李白,53.09%,0.64%,0.20%,56.90742615733827,A
韓信,53.40%,0.62%,0.22%,57.74967944959695,A
項羽,50.25%,0.71%,0.03%,50.15759077051241,B
孔子,54.47%,0.63%,0.15%,60.885643978590814,S
楊貴妃,50.17%,0.69%,0.05%,49.97605996556333,C
元流の子（メイジ）,51.23%,0.64%,0.06%,52.1788671662196,B
ナコルル,51.11%,0.60%,0.08%,51.86393397429011,B
啓,52.77%,0.61%,0.04%,55.884114546710165,A
シャルロット,48.64%,0.61%,0.04%,46.95763977578537,C
扁鵲,49.87%,0.58%,0.09%,49.23628086178155,C
曜,51.90%,0.59%,0.06%,53.671465047168496,B
元流の子（タンク）,48.54%,0.59%,0.06%,46.76962715771633,C
明世隠,50.88%,0.57%,0.04%,51.28267268940722,B
アレン,49.66%,0.56%,0.04%,48.76033860536436,C
周瑜,49.99%,0.53%,0.03%,49.36052115935166,C
バタフライ,51.69%,0.51%,0.05%,53.05156222290163,B
タイガー,52.62%,0.46%,0.13%,55.356941664014954,A
ファーティフ,48.94%,0.47%,0.12%,47.359600557994106,C
趙雲,51.34%,0.51%,0.01%,52.2070158373152,B
劉備,54.68%,0.48%,0.04%,61.25942764629666,S
黄忠,51.61%,0.49%,0.02%,52.81472745494608,B
アグド,51.44%,0.48%,0.02%,52.40616176305387,B
白起,52.42%,0.46%,0.06%,54.78979467175124,B
ムーラン,51.90%,0.45%,0.04%,53.47187989432161,B
鐘無艶,50.72%,0.45%,0.03%,50.772494822452856,B
蒙牙,53.91%,0.45%,0.01%,58.83355820943952,A
楊戩,51.39%,0.43%,0.05%,52.253340524243036,B
ハロルド,50.06%,0.43%,0.06%,49.39871924525224,C
孫臏,49.56%,0.41%,0.03%,48.3720874284932,C
姫小満,47.92%,0.40%,0.06%,45.48847500414541,C
上官婉児,48.01%,0.39%,0.04%,45.60932358045609,C
橘右京,51.41%,0.39%,0.02%,52.23181867349246,B
漸離,48.50%,0.36%,0.04%,46.400437244226595,C
ナタク,51.12%,0.30%,0.02%,51.48169860126085,B
鬼谷子,51.60%,0.23%,0.14%,52.60863757693736,B
司馬懿,47.77%,0.28%,0.04%,45.11000821789506,C
雲中君,52.79%,0.28%,0.01%,55.52135810939475,A
関羽,47.43%,0.27%,0.04%,44.56593096199459,D
鏡,44.78%,0.26%,0.07%,40.978720866821476,D
達磨,52.84%,0.25%,0.02%,55.63436902420429,A
劉邦,48.76%,0.23%,0.01%,46.708516974756165,C
モンキ,51.74%,0.21%,0.02%,52.83279393610451,B
百里玄策,52.68%,0.19%,0.02%,55.162427267729036,A
アテナ,54.69%,0.09%,0.01%,60.902520066982156,S
