name,win_rate,pick_rate,ban_rate,meta_score,tier
ミレディ,50.04%,1.96%,5.02%,56.23140318872634,A
大司命,47.99%,1.14%,5.92%,51.29120829516294,B
后羿,52.27%,3.78%,0.33%,58.876187299830704,A
妲己,50.16%,2.80%,2.10%,55.19616574889108,A
Lapulapu,55.81%,3.11%,1.26%,70.12287336924217,S
アンジェラ,49.88%,2.25%,2.39%,54.38484268556444,B
白龍,46.88%,1.14%,3.80%,47.98259022865201,C
東皇太一,49.65%,1.18%,3.49%,52.51802680082386,B
張良,50.31%,0.87%,3.02%,52.799958269286385,B
蔡文姫,52.10%,1.67%,1.35%,57.47284681927877,A
マルコ・ポーロ,47.27%,2.05%,0.41%,48.07071979156108,C
小喬,47.87%,2.02%,0.16%,48.77450838835367,C
瀾,48.62%,1.18%,1.81%,49.367892310588495,C
魯班7号,50.70%,1.95%,0.18%,53.953214328792065,B
孔明,49.89%,1.79%,0.46%,52.17814633061741,B
王昭君,49.78%,1.85%,0.33%,51.988165159106984,B
李信,51.84%,1.59%,0.60%,56.08953773640369,A
瑶,47.04%,1.20%,1.17%,46.38997230843793,C
蘭陵王,49.30%,0.55%,2.40%,49.82446445485087,C
墨子,48.44%,1.10%,1.29%,48.47793805618581,C
孫尚香,46.32%,1.58%,0.05%,45.45512462912737,C
女媧,52.34%,1.25%,0.68%,56.541777127339174,A
ルアンナ,51.54%,1.46%,0.23%,54.784052828376936,B
虞美人,50.40%,1.47%,0.14%,52.22775403669678,B
少司縁,46.94%,1.11%,0.86%,45.79523494376919,C
宮本武蔵,49.41%,1.36%,0.29%,50.10386394091135,B
阿軻,51.84%,0.71%,1.53%,54.804309652366626,B
ドリア,45.30%,1.33%,0.29%,43.67485223827736,D
太公望,52.00%,1.26%,0.34%,55.4665788968087,A
カイザー,49.87%,1.35%,0.10%,50.82392264246898,B
夏侯惇,49.33%,1.27%,0.20%,49.66212124774416,C
伽羅,52.50%,1.27%,0.18%,56.62372555476346,A
エリン,50.09%,1.30%,0.13%,51.160904571162064,B
甄姫,52.23%,1.31%,0.06%,55.948877285441256,A
典韋,51.57%,1.12%,0.39%,54.13828435754978,B
ルナ,48.71%,0.68%,1.17%,48.02478059646106,C
大喬,47.82%,0.94%,0.64%,46.60898725755506,C
アーサー,48.93%,1.20%,0.07%,48.65973720784046,C
公孫離,48.01%,0.78%,0.85%,46.76533479992519,C
ガルダ,50.44%,1.12%,0.16%,51.46551917730038,B
ミーユエ,50.47%,0.80%,0.78%,51.32038420932375,B
元流の子（マークスマン）,51.96%,1.15%,0.06%,54.89220805875143,B
荘子,49.60%,0.75%,0.85%,49.53739761564012,C
バイロン,48.44%,1.09%,0.08%,47.547314641465505,C
仁傑,53.14%,1.06%,0.03%,57.70784004350409,A
鐘馗,47.94%,0.84%,0.45%,46.461589317175964,C
孫悟空,47.62%,0.97%,0.19%,46.016155662362,C
呂布,47.89%,1.02%,0.09%,46.481034567668665,C
アレッシオ,52.27%,1.02%,0.04%,55.34465058884874,A
不知火舞,48.96%,0.82%,0.31%,48.066815681092635,C
貂蝉,48.73%,0.91%,0.12%,47.68956361950539,C
李白,51.79%,0.79%,0.35%,53.93771020340828,B
ハイノ,48.15%,0.86%,0.20%,46.65787613910533,C
孫策,48.15%,0.93%,0.04%,46.67786140110642,C
