name,win_rate,pick_rate,ban_rate,meta_score,tier
Florentino,51.91%,0.65%,6.39%,58.59963036207738,A
大司命,49.44%,1.29%,5.03%,53.690987818075584,B
妲己,51.71%,2.60%,2.29%,58.621498786790205,A
李信,52.81%,2.56%,2.10%,61.211921512150106,S
アンジェラ,51.79%,2.29%,1.61%,58.044097838442944,A
張良,50.75%,0.65%,4.58%,54.59062433814403,B
白龍,48.16%,1.29%,3.22%,50.06142117680109,B
Lorion,48.48%,0.62%,4.46%,50.072685259240686,B
マルコ・ポーロ,48.64%,2.50%,0.29%,50.77918168363043,B
ミレディ,48.60%,1.76%,1.35%,50.50434935362685,B
后羿,49.25%,2.35%,0.14%,51.63651634695105,B
孫悟空,49.62%,2.15%,0.38%,52.29136061480314,B
魯班7号,53.10%,2.22%,0.19%,60.249325188609575,S
カイザー,51.40%,2.18%,0.20%,55.94558340605341,A
孫尚香,47.62%,1.98%,0.09%,48.33697899427142,C
王昭君,52.43%,1.77%,0.46%,57.97122298641917,A
孔明,50.07%,1.89%,0.20%,52.64304869769997,B
ドリア,45.81%,1.78%,0.40%,45.59892209051667,C
小喬,48.75%,1.86%,0.11%,50.030592864844245,B
瑶,47.58%,1.33%,1.17%,47.68628679140576,C
墨子,49.99%,1.48%,0.82%,52.07234972772755,B
虞美人,51.88%,1.74%,0.19%,56.34299557954911,A
Haya,49.18%,0.87%,1.84%,49.82204863188619,C
夏侯惇,53.21%,1.61%,0.33%,59.59982050725723,A
呂布,49.51%,1.66%,0.15%,51.04977174245357,B
蔡文姫,50.64%,0.96%,1.34%,52.53904516987465,B
東皇太一,48.86%,0.61%,1.99%,48.869289667064415,C
エリン,51.40%,1.41%,0.14%,54.416857148020284,B
瀾,47.88%,1.25%,0.38%,47.37206571230548,C
バイロン,47.66%,1.39%,0.08%,47.14418609964157,C
司馬懿,52.79%,1.23%,0.36%,57.56406102040128,A
伽羅,53.85%,1.30%,0.20%,60.57499123083981,S
少司縁,48.15%,0.91%,0.82%,47.33905037960143,C
Annette,50.13%,0.71%,1.21%,50.872367492020764,B
ルアンナ,52.79%,1.13%,0.13%,57.14492971772202,A
典韋,51.14%,1.08%,0.23%,53.07816845598122,B
宮本武蔵,50.15%,1.10%,0.17%,50.96837871657271,B
荘子,49.38%,0.67%,0.99%,49.17240860068187,C
