name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.53%,1.18%,6.87%,54.68699832892549,B
白龍,47.21%,1.25%,5.98%,50.23368487905498,B
ミレディ,52.07%,2.58%,1.49%,58.86574048443342,A
妲己,50.35%,2.90%,0.56%,54.49495721325977,B
瀾,50.57%,1.50%,3.18%,54.793738206788,B
アンジェラ,49.69%,2.77%,0.61%,53.1364944573426,B
后羿,51.36%,2.71%,0.10%,56.23839338033155,A
瑶,48.86%,2.07%,0.95%,51.05092448514321,B
マルコ・ポーロ,48.62%,2.36%,0.27%,50.546165777141944,B
夏侯惇,52.55%,2.27%,0.23%,58.78725166754329,A
ルアンナ,53.95%,2.12%,0.27%,62.468685460145686,S
阿軻,51.56%,0.76%,2.81%,55.10544020781093,A
小喬,49.24%,2.11%,0.05%,51.135663154791324,B
典韋,53.65%,1.78%,0.59%,61.161345813812986,S
公孫離,48.99%,1.31%,1.54%,49.996939978127095,C
少司縁,49.57%,1.55%,1.01%,51.27573632535984,B
張良,50.37%,1.25%,1.19%,52.26424723151716,B
貂蝉,51.20%,1.64%,0.36%,54.40053224052418,B
魯班7号,50.33%,1.78%,0.07%,52.63207643565475,B
李信,52.89%,1.71%,0.17%,58.57676153860952,A
孫尚香,46.69%,1.79%,0.03%,46.31765124303615,C
虞美人,51.23%,1.70%,0.08%,54.40160012225312,B
孔明,48.58%,1.63%,0.10%,48.983802078839915,C
蔡文姫,50.78%,1.42%,0.46%,53.00318448711673,B
ドリア,46.75%,1.50%,0.18%,45.82116907171944,C
蘭陵王,48.59%,0.64%,1.79%,48.15611226073667,C
墨子,49.37%,1.27%,0.51%,49.82737641697703,C
エリン,51.04%,1.45%,0.08%,53.36270074717248,B
大喬,48.91%,1.10%,0.68%,48.71617586128746,C
啓,52.57%,1.27%,0.19%,56.66940947838144,A
東皇太一,49.18%,0.99%,0.76%,49.033873313904664,C
ファーティフ,49.61%,1.16%,0.34%,49.896650416748564,C
太公望,50.13%,1.28%,0.09%,51.019399950474806,B
ミーユエ,52.50%,1.08%,0.36%,56.178228413478315,A
伽羅,52.45%,1.19%,0.06%,56.0734229296064,A
アーサー,48.45%,1.16%,0.03%,47.55743978349351,C
ルナ,49.18%,0.93%,0.45%,48.68301754084221,C
王昭君,51.26%,1.12%,0.04%,53.03166212082043,B
劉禅,50.55%,1.06%,0.09%,51.38281088237782,B
孫悟空,47.52%,1.04%,0.10%,45.82412241910229,C
ハイノ,48.84%,1.00%,0.15%,47.98079123298414,C
李元芳,49.35%,1.03%,0.06%,48.90723369039689,C
鐘馗,50.51%,0.98%,0.15%,51.17721575987164,B
孫策,48.16%,1.03%,0.02%,46.774600499382245,C
棋星,51.24%,0.98%,0.08%,52.718575314191085,B
アレッシオ,51.87%,1.00%,0.02%,54.18633246803317,B
呂布,47.89%,0.99%,0.03%,46.25641547760321,C
甄姫,51.15%,0.99%,0.01%,52.48340289141645,B
不知火舞,49.53%,0.90%,0.14%,49.05012863642543,C
宮本武蔵,48.81%,0.93%,0.07%,47.728734382154244,C
アレン,49.26%,0.95%,0.02%,48.54723781528933,C
仁傑,53.26%,0.94%,0.02%,57.662656589491924,A
