name,win_rate,pick_rate,ban_rate,meta_score,tier
アンジェラ,52.02%,2.53%,3.53%,60.248857996617,S
妲己,50.54%,2.24%,3.67%,56.701202941420206,A
ミレディ,48.83%,1.71%,4.20%,52.87564186787037,B
大司命,47.40%,1.01%,5.38%,49.70873185478145,C
白龍,48.30%,1.53%,3.53%,51.03928155791817,B
張良,51.31%,0.75%,4.82%,56.13829857053845,A
后羿,49.63%,3.06%,0.21%,52.82329233761754,B
溟月,49.74%,0.99%,2.99%,51.937244147364076,B
李信,52.55%,1.83%,1.27%,58.94608751055224,A
王昭君,51.38%,2.00%,0.49%,55.82150460476714,A
東皇太一,48.35%,0.73%,2.87%,48.79871100565511,C
マルコ・ポーロ,50.63%,1.94%,0.28%,53.901828061552024,B
蔡文姫,50.01%,1.19%,1.75%,52.009440907814444,B
小喬,48.45%,1.94%,0.17%,49.64709482659818,C
張飛,49.53%,1.67%,0.65%,51.41455124491657,B
ドリア,46.12%,1.70%,0.49%,45.847751640763384,C
孫尚香,48.22%,1.76%,0.10%,48.855075663727085,C
墨子,49.60%,1.20%,1.12%,50.757206175965415,B
呂布,49.07%,1.63%,0.24%,50.158247449821765,B
ルアンナ,53.18%,1.64%,0.18%,59.39983776090303,A
虞美人,52.09%,1.64%,0.18%,56.56121250695692,A
カイザー,51.88%,1.63%,0.15%,56.003547750891066,A
魯班7号,50.66%,1.62%,0.14%,53.20084661398062,B
瑶,48.65%,1.08%,1.23%,48.81014711656713,C
チーシャ,50.38%,1.46%,0.40%,52.422350170642396,B
エリン,51.39%,1.56%,0.16%,54.69287606252847,B
アーサー,51.04%,1.56%,0.16%,53.90240316076802,B
少司縁,48.46%,1.09%,1.05%,48.369719827910345,C
孔明,49.16%,1.45%,0.24%,49.89168261165987,C
孫悟空,49.32%,1.43%,0.27%,50.16127231962702,B
夏侯惇,51.46%,1.43%,0.25%,54.604986609098674,B
伽羅,53.35%,1.39%,0.26%,59.327882007733216,A
姫小満,46.83%,1.35%,0.27%,45.8432969642065,C
宮本武蔵,50.77%,1.14%,0.20%,52.30651678948568,B
典韋,52.23%,1.10%,0.27%,55.6592562383762,A
アレン,51.34%,1.16%,0.08%,53.5317806988909,B
瀾,49.12%,0.95%,0.49%,48.80325399454709,C
女媧,52.41%,0.95%,0.47%,55.92345716624516,A
ミーユエ,50.10%,0.77%,0.76%,50.53131423886962,B
荘子,49.38%,0.65%,0.93%,49.048747571059785,C
甄姫,51.19%,1.06%,0.05%,52.93168587794839,B
公孫離,46.71%,0.90%,0.39%,44.70012701449927,D
