name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.45%,1.15%,6.87%,54.44303629383858,B
白龍,47.51%,1.26%,6.12%,50.79870590400528,B
妲己,50.58%,3.04%,0.62%,55.08756038371103,A
ミレディ,51.69%,2.58%,1.13%,57.67546879166,A
瀾,50.40%,1.50%,3.26%,54.47065381021364,B
后羿,51.55%,2.66%,0.09%,56.63258019369267,A
夏侯惇,52.89%,2.48%,0.25%,59.93906120383339,A
阿軻,51.30%,0.83%,3.36%,55.01924792001907,A
アンジェラ,49.41%,2.17%,0.48%,51.86005116302308,B
マルコ・ポーロ,48.83%,2.25%,0.23%,50.731056334238815,B
典韋,53.83%,1.80%,0.68%,61.77447101667637,S
ルアンナ,54.25%,1.99%,0.24%,63.1008532103457,S
公孫離,49.13%,1.47%,1.22%,50.38300143411723,B
瑶,49.99%,1.59%,0.87%,52.065558637433796,B
魯班7号,50.73%,1.92%,0.07%,53.75657923566536,B
少司縁,49.28%,1.29%,1.29%,50.2674220529919,B
孫尚香,46.56%,1.85%,0.03%,46.24249994457132,C
張良,50.62%,1.28%,1.15%,52.806892894238366,B
貂蝉,53.47%,1.70%,0.24%,60.1759398546009,S
李信,52.94%,1.72%,0.17%,58.71002226506322,A
虞美人,51.36%,1.68%,0.07%,54.61807646412045,B
孔明,48.74%,1.63%,0.10%,49.23841459781149,C
啓,52.57%,1.43%,0.24%,57.07541774082426,A
小喬,49.37%,1.53%,0.03%,50.08565448384018,B
墨子,49.16%,1.30%,0.47%,49.45467386456675,C
蔡文姫,50.56%,1.27%,0.46%,52.13803234941776,B
大喬,48.28%,1.04%,0.79%,47.55348160214679,C
エリン,51.32%,1.37%,0.07%,53.75997061398712,B
蘭陵王,48.44%,0.63%,1.55%,47.694312655074846,C
棋星,50.85%,1.33%,0.13%,52.65859830475013,B
太公望,50.40%,1.33%,0.08%,51.66297245462991,B
ドリア,47.00%,1.28%,0.17%,45.60901041331206,C
東皇太一,48.43%,1.00%,0.72%,47.67332509724421,C
ミーユエ,52.76%,1.13%,0.37%,56.95038127582263,A
劉禅,50.24%,1.17%,0.08%,50.95210937728423,B
白起,50.43%,1.09%,0.24%,51.286642487669894,B
王昭君,50.91%,1.16%,0.04%,52.318879859028335,B
孫悟空,48.23%,1.09%,0.11%,47.06598028111752,C
伽羅,52.91%,1.10%,0.06%,57.04995646664038,A
