name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,49.47%,1.20%,6.79%,54.5356000975955,B
白龍,47.35%,1.25%,5.98%,50.42235248700756,B
ミレディ,52.04%,2.49%,1.44%,58.66596026840617,A
妲己,50.36%,2.89%,0.60%,54.542737404904635,B
瀾,50.45%,1.63%,3.06%,54.74667486031751,B
瑶,49.33%,2.36%,0.96%,52.337591810396056,B
アンジェラ,49.32%,2.46%,0.56%,52.13391804997217,B
后羿,51.42%,2.60%,0.10%,56.289507689816354,A
マルコ・ポーロ,48.66%,2.39%,0.26%,50.63677894609714,B
夏侯惇,52.54%,2.36%,0.24%,58.877123869016614,A
阿軻,51.42%,0.78%,2.88%,54.85156367966042,B
少司縁,49.32%,1.64%,1.10%,51.065663160505444,B
ルアンナ,54.04%,2.01%,0.26%,62.518365461907855,S
公孫離,49.24%,1.41%,1.47%,50.623468726908904,B
典韋,53.65%,1.81%,0.64%,61.24359062649441,S
小喬,49.12%,2.03%,0.04%,50.749999784152806,B
貂蝉,53.23%,1.83%,0.36%,59.892976615806035,A
李信,52.68%,1.82%,0.18%,58.25750731932841,A
張良,50.30%,1.25%,1.29%,52.16982416656077,B
孫尚香,46.58%,1.81%,0.03%,46.18277455769361,C
魯班7号,50.55%,1.76%,0.07%,53.02322568085421,B
孔明,48.98%,1.68%,0.11%,49.79502962560075,C
虞美人,51.28%,1.66%,0.08%,54.394936769589464,B
蔡文姫,50.76%,1.37%,0.47%,52.81705571178809,B
墨子,49.53%,1.29%,0.52%,50.161052088575204,B
ドリア,46.99%,1.42%,0.17%,45.93862275245247,C
蘭陵王,48.08%,0.64%,1.71%,47.22258814422198,C
大喬,48.99%,1.12%,0.71%,48.904847971181404,C
啓,52.59%,1.34%,0.20%,56.87397884453701,A
エリン,51.07%,1.40%,0.08%,53.2784371278143,B
東皇太一,49.07%,0.99%,0.85%,48.88051365396973,C
太公望,50.40%,1.27%,0.09%,51.5247941585333,B
ミーユエ,52.27%,1.11%,0.37%,55.645697311900804,A
ルナ,49.56%,0.94%,0.46%,49.40543272817413,C
孫悟空,47.70%,1.11%,0.11%,46.24477200316189,C
劉禅,50.43%,1.10%,0.09%,51.19592268465194,B
伽羅,52.71%,1.08%,0.06%,56.476763442812405,A
