name,win_rate,pick_rate,ban_rate,meta_score,tier
妲己,51.23%,2.63%,3.05%,58.10117256592859,A
大司命,48.19%,1.11%,5.93%,51.59995081199348,B
ミレディ,49.10%,1.65%,4.29%,53.27698535618069,B
アンジェラ,51.56%,2.15%,2.80%,58.19039860662244,A
后羿,50.31%,3.32%,0.27%,54.292243894560144,B
Haya,48.03%,1.64%,3.31%,50.66421206880072,B
Chicha,51.34%,2.10%,2.36%,57.27938456532832,A
白龍,47.15%,1.20%,3.60%,48.420442692392335,C
張良,50.25%,0.87%,3.56%,53.11366240080429,B
李信,53.63%,2.04%,1.16%,62.17117311692103,S
マルコ・ポーロ,51.13%,2.32%,0.48%,55.67858628696961,A
孫悟空,49.30%,2.01%,0.37%,51.42470789126176,B
小喬,48.80%,2.01%,0.15%,50.35024022748594,B
王昭君,50.84%,1.88%,0.34%,54.27411947351718,B
孫尚香,48.35%,1.96%,0.10%,49.44648496727198,C
蔡文姫,50.12%,1.31%,1.37%,52.22129929631529,B
墨子,49.58%,1.24%,1.35%,50.96833511877426,B
東皇太一,48.16%,0.84%,2.09%,48.0843954970127,C
瑶,47.31%,1.33%,1.08%,47.09516785872481,C
虞美人,51.92%,1.70%,0.19%,56.2695247337507,A
魯班7号,50.86%,1.70%,0.15%,53.80224096055526,B
エリン,51.56%,1.65%,0.20%,55.307385712553504,A
伽羅,54.49%,1.50%,0.30%,62.9844745888137,S
ドリア,45.75%,1.41%,0.32%,44.51752245972546,D
少司縁,47.87%,1.14%,0.84%,47.32814675026789,C
瀾,49.27%,1.06%,0.78%,49.52424431075788,C
夏侯惇,50.74%,1.31%,0.21%,52.64598962891813,B
孔明,48.08%,1.29%,0.25%,47.59612415453929,C
カイザー,51.31%,1.34%,0.12%,53.916651480916066,B
甄姫,52.72%,1.28%,0.09%,57.196836755929155,A
ルアンナ,51.34%,1.24%,0.11%,53.72879590021752,B
ハイノ,48.65%,1.11%,0.33%,48.18556187183838,C
李元芳,50.71%,1.20%,0.09%,52.21928212337183,B
呂布,49.41%,1.15%,0.13%,49.510624197714506,C
アーサー,50.31%,1.17%,0.09%,51.30441047014209,B
宮本武蔵,50.52%,1.09%,0.21%,51.64179020894075,B
ミーユエ,49.37%,0.81%,0.76%,49.169516968453166,C
阿軻,52.50%,0.63%,1.09%,56.00931719020066,A
鐘馗,50.62%,0.92%,0.49%,51.686294824127366,B
典韋,52.28%,1.01%,0.28%,55.565671295628114,A
元流の子（マークスマン）,51.73%,1.12%,0.05%,54.30221943502999,B
大喬,47.42%,0.88%,0.53%,45.80685131964017,C
蘭陵王,48.71%,0.50%,1.22%,47.82071535581373,C
荘子,49.74%,0.68%,0.80%,49.6777045635705,C
女媧,50.52%,0.88%,0.35%,51.287461527768905,B
バイロン,48.51%,0.98%,0.09%,47.46662241239858,C
劉禅,49.35%,0.92%,0.18%,48.915897197114774,C
公孫離,47.08%,0.76%,0.50%,45.038876689318116,C
アレッシオ,51.57%,0.98%,0.04%,53.59765239243768,B
廉頗,51.51%,0.93%,0.10%,53.39543552126406,B
干将・莫耶,52.70%,0.76%,0.43%,56.250294984515925,A
孫策,50.03%,0.93%,0.03%,50.143092449695196,B
太公望,50.44%,0.88%,0.11%,50.939593775270474,B
ルナ,48.65%,0.63%,0.61%,47.44312709020652,C
貂蝉,47.06%,0.88%,0.11%,44.94547650636738,D
百里守約,49.72%,0.83%,0.10%,49.3815845619997,C
仁傑,51.78%,0.86%,0.02%,53.828958627231515,B
ユンエイ,52.47%,0.80%,0.13%,55.502924429416126,A
蒼,50.15%,0.79%,0.09%,50.152985827333104,B
項羽,49.98%,0.79%,0.04%,49.77326450836538,C
西施,48.84%,0.68%,0.26%,47.59550723734497,C
不知火舞,48.32%,0.72%,0.17%,46.69279464732717,C
張飛,49.56%,0.72%,0.14%,48.90229710309493,C
棋星,52.03%,0.76%,0.05%,54.267455334800964,B
シャルロット,48.26%,0.76%,0.05%,46.571943923019596,C
ガルダ,50.12%,0.74%,0.04%,49.96442466587188,C
影,50.38%,0.65%,0.09%,50.38473558973246,B
孔子,53.91%,0.60%,0.16%,59.154957138592664,A
元流の子（タンク）,49.00%,0.65%,0.07%,47.69185929288169,C
李白,51.82%,0.58%,0.15%,53.54117051563382,B
Lapulapu,55.43%,0.60%,0.09%,63.956539120932106,S
ナコルル,51.43%,0.60%,0.07%,52.592882903649944,B
韓信,53.51%,0.53%,0.19%,57.91840773638915,A
元流の子（メイジ）,51.41%,0.58%,0.06%,52.50987959773134,B
鐘無艶,51.52%,0.57%,0.05%,52.742673586798894,B
扁鵲,49.30%,0.55%,0.09%,48.10907048124169,C
曜,51.81%,0.54%,0.05%,53.38563895835088,B
アタ,53.08%,0.54%,0.04%,56.62385515122988,A
啓,52.93%,0.54%,0.04%,56.218691181120505,A
楊貴妃,49.05%,0.53%,0.03%,47.576119907509884,C
アグド,51.87%,0.52%,0.04%,53.49521633923881,B
周瑜,50.73%,0.51%,0.04%,50.88397334295437,B
明世隠,50.19%,0.51%,0.04%,49.752995577008456,C
趙雲,51.70%,0.50%,0.02%,53.04733307130939,B
ハロルド,50.18%,0.47%,0.06%,49.6961933840878,C
バタフライ,51.67%,0.47%,0.06%,52.96801916245916,B
漸離,49.78%,0.46%,0.08%,48.90032634419659,C
劉備,54.51%,0.46%,0.05%,60.71064728503644,S
タイガー,52.64%,0.41%,0.14%,55.36363065954893,A
蒙牙,53.62%,0.47%,0.01%,58.01941269549896,A
黄忠,51.38%,0.46%,0.02%,52.250032648655974,B
橘右京,51.40%,0.45%,0.03%,52.29126091655982,B
白起,51.60%,0.43%,0.06%,52.754550244742966,B
ムーラン,50.93%,0.44%,0.04%,51.23045714959055,B
姫小満,47.41%,0.41%,0.06%,44.69752719440512,D
楊戩,51.41%,0.41%,0.04%,52.27455969322593,B
関羽,47.21%,0.36%,0.10%,44.366626193366606,D
アレン,48.04%,0.39%,0.02%,45.64872012218375,C
孫臏,49.02%,0.37%,0.03%,47.32702534270593,C
ファーティフ,48.97%,0.31%,0.05%,47.18965963079049,C
上官婉児,47.21%,0.32%,0.03%,44.27284669297668,D
雲中君,51.97%,0.30%,0.02%,53.4697258793538,B
鬼谷子,51.82%,0.23%,0.15%,53.14036077249933,B
達磨,52.96%,0.28%,0.02%,55.98515164832991,A
ナタク,49.83%,0.27%,0.02%,48.749297484840454,C
鏡,45.13%,0.24%,0.07%,41.38616478992767,D
劉邦,48.02%,0.25%,0.02%,45.47561031667931,C
司馬懿,46.35%,0.24%,0.04%,42.958257148594626,D
モンキ,51.72%,0.22%,0.02%,52.795526547368596,B
百里玄策,53.24%,0.21%,0.03%,56.69394757323952,A
アテナ,53.75%,0.08%,0.01%,58.02759258906807,A
