name,win_rate,pick_rate,ban_rate,meta_score,tier
大司命,47.96%,1.22%,5.98%,51.523417640259055,B
妲己,51.07%,2.54%,3.16%,57.75975633244588,A
ミレディ,49.02%,1.60%,4.53%,53.195270969995896,B
后羿,50.92%,3.65%,0.37%,55.71057712456735,A
アンジェラ,51.76%,2.15%,2.82%,58.67763571783844,A
白龍,47.18%,1.23%,3.61%,48.5467488049814,C
Haya,48.43%,1.42%,3.12%,50.66110672264941,B
Chicha,50.67%,2.01%,1.82%,55.250241056634806,A
張良,49.94%,0.84%,3.68%,52.51853870155797,B
李信,53.47%,1.94%,1.23%,61.59681503511,S
マルコ・ポーロ,50.73%,2.28%,0.48%,54.75519182710838,B
孫悟空,49.39%,1.88%,0.39%,51.37550639286084,B
小喬,48.93%,1.99%,0.15%,50.54863330125121,B
王昭君,50.93%,1.87%,0.37%,54.474048625763054,B
蔡文姫,50.28%,1.29%,1.37%,52.49790047313415,B
墨子,49.25%,1.21%,1.46%,50.35449922785905,B
孫尚香,48.37%,1.86%,0.09%,49.28722584013629,C
東皇太一,48.15%,0.83%,2.13%,48.07840290301728,C
瑶,47.62%,1.23%,1.08%,47.327828936195026,C
虞美人,51.71%,1.63%,0.18%,55.599622778161574,A
少司縁,48.13%,1.29%,0.86%,48.13636151241373,C
魯班7号,50.66%,1.64%,0.14%,53.22743374586742,B
エリン,51.50%,1.61%,0.19%,55.06743570461302,A
ドリア,45.61%,1.51%,0.31%,44.57511581657221,D
伽羅,54.22%,1.46%,0.29%,62.0439013637195,S
孔明,48.32%,1.32%,0.25%,48.0718969990169,C
瀾,49.43%,1.03%,0.71%,49.703233629320025,C
カイザー,51.24%,1.31%,0.12%,53.682670938977246,B
夏侯惇,50.59%,1.26%,0.21%,52.200932615029764,B
甄姫,52.71%,1.28%,0.09%,57.17059813739876,A
ルアンナ,51.25%,1.25%,0.11%,53.54862772293668,B
宮本武蔵,50.61%,1.12%,0.20%,51.89537561709325,B
アーサー,50.51%,1.17%,0.09%,51.721158258075704,B
干将・莫耶,52.66%,0.94%,0.51%,56.55882545042794,A
貂蝉,47.27%,1.10%,0.19%,45.80455743762265,C
鐘馗,50.51%,0.94%,0.50%,51.50308214235346,B
阿軻,52.44%,0.63%,1.10%,55.86319546623492,A
呂布,49.03%,1.10%,0.13%,48.68882180770941,C
大喬,47.61%,0.91%,0.51%,46.14956079036523,C
ミーユエ,49.22%,0.78%,0.75%,48.82658398096166,C
典韋,52.17%,1.00%,0.28%,55.268621439365354,A
蘭陵王,49.32%,0.52%,1.21%,48.94538010978459,C
ハイノ,49.02%,0.99%,0.25%,48.51014162554377,C
元流の子（マークスマン）,51.69%,1.07%,0.05%,54.090187479632895,B
シャルロット,48.31%,1.06%,0.06%,47.28240577796271,C
荘子,50.02%,0.67%,0.80%,50.21472000786635,B
李元芳,51.15%,1.04%,0.05%,52.7764768343011,B
公孫離,46.77%,0.81%,0.48%,44.660124582028814,D
女媧,50.91%,0.87%,0.33%,52.09024009548501,B
バイロン,48.73%,0.95%,0.09%,47.78508487416219,C
不知火舞,47.93%,0.90%,0.17%,46.38604305374778,C
廉頗,51.26%,0.93%,0.10%,52.821145725288154,B
ユンエイ,52.92%,0.91%,0.13%,56.89832349569735,A
アレッシオ,51.25%,0.95%,0.03%,52.78838048355558,B
孫策,50.26%,0.95%,0.04%,50.65973039168789,B
劉禅,48.76%,0.86%,0.18%,47.7200490201905,C
ルナ,48.98%,0.63%,0.61%,48.02939988982337,C
太公望,50.73%,0.87%,0.11%,51.534470728609776,B
仁傑,51.73%,0.88%,0.02%,53.74976877918224,B
百里守約,49.97%,0.80%,0.10%,49.81693208391819,C
蒼,50.76%,0.80%,0.09%,51.44859365699641,B
項羽,49.92%,0.81%,0.04%,49.69128579141172,C
棋星,52.42%,0.79%,0.05%,55.29660839134263,A
張飛,49.48%,0.71%,0.14%,48.73270292606374,C
西施,48.73%,0.66%,0.25%,47.360722889159405,C
ガルダ,50.30%,0.73%,0.04%,50.314593151324,B
影,51.11%,0.64%,0.09%,51.94226232480424,B
ナコルル,51.14%,0.64%,0.07%,51.99440668539814,B
元流の子（タンク）,49.33%,0.64%,0.07%,48.28326821445061,C
Lapulapu,55.66%,0.60%,0.07%,64.74244908076457,S
李白,51.74%,0.57%,0.15%,53.335580174563894,B
孔子,53.36%,0.55%,0.17%,57.50797457934133,A
韓信,53.63%,0.52%,0.20%,58.25538782306452,A
扁鵲,49.10%,0.55%,0.09%,47.73981778854729,C
元流の子（メイジ）,50.68%,0.56%,0.06%,50.86004445335383,B
アタ,53.60%,0.56%,0.03%,58.09682657498515,A
橘右京,51.36%,0.55%,0.03%,52.32983195501996,B
曜,51.53%,0.54%,0.05%,52.723834951341644,B
啓,53.15%,0.54%,0.03%,56.80752159162681,A
アグド,51.83%,0.53%,0.04%,53.41244937976187,B
楊貴妃,48.24%,0.54%,0.03%,46.17469503922836,C
周瑜,50.93%,0.52%,0.03%,51.32440534360196,B
バタフライ,51.61%,0.50%,0.06%,52.8649354211795,B
鐘無艶,51.81%,0.50%,0.04%,53.32453963076607,B
明世隠,50.44%,0.49%,0.04%,50.24293694168607,B
ハロルド,49.53%,0.46%,0.07%,48.409769594979814,C
趙雲,51.51%,0.48%,0.01%,52.56795600757586,B
劉備,54.70%,0.45%,0.05%,61.30066880376249,S
蒙牙,54.14%,0.46%,0.01%,59.54016418086029,A
ムーラン,50.85%,0.45%,0.04%,51.06762627338326,B
タイガー,52.60%,0.39%,0.15%,55.24457716193545,A
姫小満,47.68%,0.43%,0.06%,45.14325529104043,C
黄忠,51.73%,0.44%,0.02%,53.04354454590955,B
楊戩,51.85%,0.41%,0.04%,53.31043553608496,B
白起,51.50%,0.40%,0.06%,52.486372306070365,B
関羽,47.48%,0.39%,0.08%,44.79837018999894,D
漸離,50.12%,0.40%,0.04%,49.47613322882626,C
アレン,48.48%,0.39%,0.02%,46.388241043442484,C
孫臏,49.66%,0.37%,0.03%,48.52547736037763,C
上官婉児,47.00%,0.33%,0.03%,43.968496486863636,D
ファーティフ,49.35%,0.31%,0.05%,47.888469428708234,C
劉邦,47.90%,0.30%,0.04%,45.34152998463937,C
鬼谷子,51.43%,0.23%,0.15%,52.222672928222174,B
達磨,52.64%,0.29%,0.02%,55.14778565029064,A
雲中君,52.37%,0.29%,0.01%,54.44654407977843,B
ナタク,49.95%,0.27%,0.02%,48.98667337599591,C
司馬懿,46.63%,0.25%,0.04%,43.36139005197709,D
鏡,44.87%,0.23%,0.07%,41.062012727016544,D
モンキ,52.50%,0.23%,0.02%,54.731085228656795,B
百里玄策,53.82%,0.21%,0.03%,58.34524313350912,A
アテナ,53.50%,0.08%,0.01%,57.309115268569194,A
